08-30-2026 18:39:01 RAM 3882/125749MB (lfb 39x4MB) CPU [8%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.937C/63.406C tj@64.187C/64.187C soc012@64.187C/64.187C gpu@62.718C/63.125C soc345@60.062C/60.406C VDD_GPU 5928mW/6269mW/6323mW VDD_CPU_SOC_MSS 10666mW/8178mW/10666mW VIN_SYS_5V0 7672mW/6967mW/7672mW VIN 32000mW/25865mW/34014mW
08-30-2026 18:39:01 RAM 3904/125749MB (lfb 39x4MB) CPU [0%@972,0%@972,100%@2601,0%@2601,7%@972,0%@972,7%@972,7%@972,0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.906C/63.406C tj@63.875C/64.187C soc012@63.875C/64.187C gpu@62.656C/63.125C soc345@60.062C/60.406C VDD_GPU 5928mW/6255mW/6323mW VDD_CPU_SOC_MSS 10666mW/8277mW/10666mW VIN_SYS_5V0 7672mW/6995mW/7672mW VIN 32450mW/26118mW/34014mW
08-30-2026 18:39:01 RAM 3924/125749MB (lfb 39x4MB) CPU [0%@972,0%@972,100%@2601,0%@2601,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.937C/63.406C tj@63.218C/64.187C soc012@63.218C/64.187C gpu@62.687C/63.125C soc345@60.062C/60.406C VDD_GPU 5928mW/6243mW/6323mW VDD_CPU_SOC_MSS 10666mW/8366mW/10666mW VIN_SYS_5V0 7773mW/7024mW/7773mW VIN 33948mW/26398mW/34014mW
08-30-2026 18:39:01 RAM 3940/125749MB (lfb 39x4MB) CPU [0%@972,0%@972,100%@2601,0%@2601,0%@1080,0%@1080,0%@972,0%@972,0%@1350,14%@1350,0%@2601,100%@2601,0%@1674,0%@1674] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.656C/63.406C tj@64.343C/64.343C soc012@64.343C/64.343C gpu@62.843C/63.125C soc345@60.062C/60.406C VDD_GPU 5928mW/6232mW/6323mW VDD_CPU_SOC_MSS 10666mW/8445mW/10666mW VIN_SYS_5V0 7773mW/7050mW/7773mW VIN 34560mW/26670mW/34560mW
08-30-2026 18:39:01 RAM 3951/125749MB (lfb 39x4MB) CPU [0%@972,0%@972,83%@2601,8%@2601,0%@972,0%@972,0%@972,7%@972,0%@972,7%@972,0%@1782,61%@1782,8%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.281C/63.406C tj@62.906C/64.343C soc012@62.031C/64.343C gpu@62.906C/63.125C soc345@60.093C/60.406C VDD_GPU 6323mW/6235mW/6323mW VDD_CPU_SOC_MSS 10271mW/8504mW/10666mW VIN_SYS_5V0 7572mW/7066mW/7773mW VIN 31258mW/26813mW/34560mW
08-30-2026 18:39:01 RAM 4254/125749MB (lfb 3x4MB) CPU [0%@972,0%@972,75%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.187C/63.406C tj@62.75C/64.343C soc012@62.593C/64.343C gpu@62.875C/63.125C soc345@60.125C/60.406C VDD_GPU 6718mW/6250mW/6718mW VDD_CPU_SOC_MSS 10271mW/8558mW/10666mW VIN_SYS_5V0 7672mW/7085mW/7773mW VIN 32372mW/26977mW/34560mW
08-30-2026 18:39:01 RAM 4257/125749MB (lfb 4x4MB) CPU [14%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972] EMC_FREQ 4%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1557 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.562C/63.406C tj@66.968C/66.968C soc012@61.031C/64.343C gpu@66.968C/66.968C soc345@60.75C/60.75C VDD_GPU 13832mW/6466mW/13832mW VDD_CPU_SOC_MSS 11061mW/8629mW/11061mW VIN_SYS_5V0 9692mW/7159mW/9692mW VIN 77084mW/28368mW/77084mW
08-30-2026 18:39:02 RAM 4257/125749MB (lfb 4x4MB) CPU [0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,15%@972,0%@972,0%@972] EMC_FREQ 8%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1557 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1557 PVA0_FREQ off APE 300 cpu@62.656C/63.406C tj@68C/68C soc012@61.062C/64.343C gpu@68.281C/68.281C soc345@61.062C/61.062C VDD_GPU 19356mW/6815mW/19356mW VDD_CPU_SOC_MSS 11846mW/8716mW/11846mW VIN_SYS_5V0 11206mW/7269mW/11206mW VIN 76886mW/29645mW/77084mW
08-30-2026 18:39:02 RAM 4257/125749MB (lfb 4x4MB) CPU [0%@972,0%@972,15%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,14%@972,0%@972,0%@972] EMC_FREQ 12%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.687C/63.406C tj@68.593C/68.593C soc012@61.062C/64.343C gpu@68.593C/68.593C soc345@61.281C/61.281C VDD_GPU 23702mW/7248mW/23702mW VDD_CPU_SOC_MSS 12241mW/8806mW/12241mW VIN_SYS_5V0 12418mW/7401mW/12418mW VIN 76848mW/30825mW/77084mW
08-30-2026 18:39:02 RAM 4257/125749MB (lfb 4x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,7%@972,0%@972] EMC_FREQ 16%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.781C/63.406C tj@69C/69C soc012@61.093C/64.343C gpu@69C/69C soc345@61.343C/61.343C VDD_GPU 26862mW/7726mW/26862mW VDD_CPU_SOC_MSS 12636mW/8900mW/12636mW VIN_SYS_5V0 13225mW/7543mW/13225mW VIN 76014mW/31901mW/77084mW
