label,iteration,start_unix_s,wall_ms,cuda_ms
nomig_b,0,1788082544.113878,0.978229,0.880384
nomig_b,1,1788082544.114892,0.886481,0.835456
nomig_b,2,1788082544.115791,0.859761,0.826272
nomig_b,3,1788082544.116658,0.862122,0.830656
nomig_b,4,1788082544.117528,0.850698,0.822144
nomig_b,5,1788082544.118386,0.849169,0.820032
nomig_b,6,1788082544.119242,0.852494,0.823200
nomig_b,7,1788082544.120101,0.856994,0.820832
nomig_b,8,1788082544.120965,0.851022,0.821600
nomig_b,9,1788082544.121823,0.850994,0.820320
nomig_b,10,1788082544.122679,0.846309,0.818016
nomig_b,11,1788082544.123532,0.851892,0.821408
nomig_b,12,1788082544.124391,0.856409,0.826816
nomig_b,13,1788082544.125254,0.851345,0.819808
nomig_b,14,1788082544.126112,0.857418,0.821120
nomig_b,15,1788082544.126976,0.852846,0.821984
nomig_b,16,1788082544.127836,0.855567,0.822208
nomig_b,17,1788082544.128698,0.850901,0.820928
nomig_b,18,1788082544.129557,0.853410,0.822784
nomig_b,19,1788082544.130418,0.860956,0.823520
nomig_b,20,1788082544.131285,1.357879,0.838784
nomig_b,21,1788082544.132652,1.364509,0.845216
nomig_b,22,1788082544.134024,0.869195,0.835712
nomig_b,23,1788082544.134901,0.853809,0.822976
nomig_b,24,1788082544.135762,0.857400,0.825216
nomig_b,25,1788082544.136628,0.858716,0.825888
nomig_b,26,1788082544.137495,0.856150,0.823776
nomig_b,27,1788082544.138360,0.858928,0.825472
nomig_b,28,1788082544.139227,0.860159,0.826432
nomig_b,29,1788082544.140095,1.323392,0.812704
nomig_b,30,1788082544.141427,2.517486,0.365696
nomig_b,31,1788082544.143953,2.314935,0.265504
nomig_b,32,1788082544.146278,0.734147,0.289344
nomig_b,33,1788082544.147022,0.721888,0.258656
nomig_b,34,1788082544.147754,0.729971,0.265280
nomig_b,35,1788082544.148495,0.708455,0.264224
nomig_b,36,1788082544.149214,0.712196,0.262752
nomig_b,37,1788082544.149936,0.715862,0.260640
nomig_b,38,1788082544.150663,0.704242,0.262208
nomig_b,39,1788082544.151379,0.709463,0.262912
nomig_b,40,1788082544.152101,0.707363,0.260192
nomig_b,41,1788082544.152820,0.712611,0.263424
nomig_b,42,1788082544.153544,0.708103,0.260640
