08-30-2026 19:52:53 RAM 5090/125749MB (lfb 139x4MB) CPU [8%@1944,0%@1944,0%@1512,0%@1512,0%@1728,16%@1728,8%@2106,8%@2106,0%@2160,15%@2160,7%@1728,30%@1728,8%@2322,30%@2322] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@47.187C/47.187C tj@48.531C/48.531C soc012@46.593C/46.593C gpu@48.531C/48.531C soc345@45.437C/45.437C VDD_GPU 4744mW/4744mW/4744mW VDD_CPU_SOC_MSS 6718mW/6718mW/6718mW VIN_SYS_5V0 6048mW/6048mW/6048mW VIN 27424mW/13712mW/27424mW
08-30-2026 19:52:53 RAM 5101/125749MB (lfb 139x4MB) CPU [15%@1836,0%@972,0%@972,7%@972,0%@972,0%@972,14%@2601,13%@2601,0%@972,0%@972,0%@972,23%@972,15%@972,85%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@47.562C/47.562C tj@48.531C/48.531C soc012@46.687C/46.687C gpu@48.531C/48.531C soc345@45.656C/45.656C VDD_GPU 5139mW/4876mW/5139mW VDD_CPU_SOC_MSS 7113mW/6850mW/7113mW VIN_SYS_5V0 6148mW/6081mW/6148mW VIN 27864mW/17250mW/27864mW
08-30-2026 19:52:53 RAM 5095/125749MB (lfb 137x4MB) CPU [0%@972,0%@972,7%@1080,0%@1080,7%@972,0%@972,18%@1728,27%@1728,0%@1728,14%@1728,0%@1134,0%@1134,38%@972,7%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@47.656C/47.656C tj@48.375C/48.531C soc012@46.25C/46.687C gpu@48.375C/48.531C soc345@45.625C/45.656C VDD_GPU 5139mW/4928mW/5139mW VDD_CPU_SOC_MSS 7113mW/6902mW/7113mW VIN_SYS_5V0 6249mW/6115mW/6249mW VIN 25938mW/18698mW/27864mW
08-30-2026 19:52:53 RAM 5124/125749MB (lfb 137x4MB) CPU [0%@972,0%@972,0%@972,0%@972,36%@1350,7%@1350,14%@972,25%@972,0%@972,0%@972,15%@972,7%@972,16%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@47.062C/47.656C tj@48.375C/48.531C soc012@46.156C/46.687C gpu@48.375C/48.531C soc345@45.5C/45.656C VDD_GPU 5139mW/4958mW/5139mW VDD_CPU_SOC_MSS 7113mW/6932mW/7113mW VIN_SYS_5V0 6350mW/6148mW/6350mW VIN 24394mW/19410mW/27864mW
08-30-2026 19:52:53 RAM 5124/125749MB (lfb 137x4MB) CPU [8%@972,15%@972,15%@1458,21%@1458,14%@1890,8%@1890,8%@1836,16%@1836,23%@1620,15%@1620,8%@972,0%@972,8%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@47.187C/47.656C tj@48.375C/48.531C soc012@46.312C/46.687C gpu@48.375C/48.531C soc345@45.406C/45.656C VDD_GPU 5139mW/4978mW/5139mW VDD_CPU_SOC_MSS 7113mW/6952mW/7113mW VIN_SYS_5V0 6350mW/6171mW/6350mW VIN 26174mW/20086mW/27864mW
08-30-2026 19:52:53 RAM 5126/125749MB (lfb 137x4MB) CPU [7%@972,0%@972,0%@2376,75%@2376,8%@972,15%@972,7%@1026,0%@1026,0%@1242,7%@1242,15%@1026,0%@1026,0%@1026,0%@1026] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@47.937C/47.937C tj@48.593C/48.593C soc012@46.281C/46.687C gpu@48.593C/48.593C soc345@45.343C/45.656C VDD_GPU 5139mW/4993mW/5139mW VDD_CPU_SOC_MSS 7508mW/7003mW/7508mW VIN_SYS_5V0 6451mW/6196mW/6451mW VIN 27582mW/20711mW/27864mW
08-30-2026 19:52:53 RAM 5128/125749MB (lfb 137x4MB) CPU [0%@972,0%@972,7%@1620,9%@1620,8%@972,15%@972,8%@972,0%@972,7%@1944,16%@1944,15%@1674,15%@1674,7%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@47.375C/47.937C tj@48.468C/48.593C soc012@46.562C/46.687C gpu@48.468C/48.593C soc345@45.5C/45.656C VDD_GPU 5139mW/5004mW/5139mW VDD_CPU_SOC_MSS 7508mW/7042mW/7508mW VIN_SYS_5V0 6451mW/6216mW/6451mW VIN 26466mW/21122mW/27864mW
08-30-2026 19:52:54 RAM 5128/125749MB (lfb 137x4MB) CPU [0%@1674,0%@1674,0%@972,7%@972,8%@972,0%@972,7%@972,0%@972,0%@1242,7%@1242,0%@972,0%@972,8%@1242,21%@1242] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@47.062C/47.937C tj@48.375C/48.593C soc012@46.281C/46.687C gpu@48.375C/48.593C soc345@45.406C/45.656C VDD_GPU 5139mW/5013mW/5139mW VDD_CPU_SOC_MSS 7113mW/7047mW/7508mW VIN_SYS_5V0 6350mW/6225mW/6451mW VIN 24176mW/21313mW/27864mW
08-30-2026 19:52:54 RAM 5128/125749MB (lfb 137x4MB) CPU [7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.968C/47.937C tj@48.375C/48.593C soc012@46.093C/46.687C gpu@48.375C/48.593C soc345@45.312C/45.656C VDD_GPU 5139mW/5021mW/5139mW VDD_CPU_SOC_MSS 6718mW/7027mW/7508mW VIN_SYS_5V0 6249mW/6226mW/6451mW VIN 23334mW/21425mW/27864mW
08-30-2026 19:52:54 RAM 5129/125749MB (lfb 137x4MB) CPU [7%@972,0%@972,0%@972,0%@972,14%@972,0%@972,0%@972,0%@972,0%@972,0%@972,8%@972,7%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.843C/47.937C tj@48.343C/48.593C soc012@46C/46.687C gpu@48.343C/48.593C soc345@45.312C/45.656C VDD_GPU 5139mW/5027mW/5139mW VDD_CPU_SOC_MSS 6718mW/7011mW/7508mW VIN_SYS_5V0 6148mW/6222mW/6451mW VIN 23342mW/21521mW/27864mW
08-30-2026 19:52:54 RAM 5129/125749MB (lfb 137x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.843C/47.937C tj@48.281C/48.593C soc012@45.968C/46.687C gpu@48.281C/48.593C soc345@45.437C/45.656C VDD_GPU 5139mW/5032mW/5139mW VDD_CPU_SOC_MSS 6323mW/6978mW/7508mW VIN_SYS_5V0 6048mW/6214mW/6451mW VIN 23284mW/21601mW/27864mW
