label,batch,start_unix_s,operations,wall_ms,cuda_batch_ms
worker_3,0,1788087216.388791,50,4.938942,1.098528
worker_3,1,1788087216.393775,50,9.533388,1.096800
worker_3,2,1788087216.403336,50,9.562083,1.098752
worker_3,3,1788087216.412919,50,9.712269,1.096992
worker_3,4,1788087216.422654,50,9.574259,1.095680
worker_3,5,1788087216.432249,50,9.550639,1.097056
worker_3,6,1788087216.441817,50,9.785964,1.100256
worker_3,7,1788087216.451654,50,9.397998,1.097760
worker_3,8,1788087216.461102,50,9.661852,1.098432
worker_3,9,1788087216.470814,50,9.195534,1.098752
worker_3,10,1788087216.480048,50,9.533138,1.098496
worker_3,11,1788087216.489603,50,9.579158,1.098272
worker_3,12,1788087216.499200,50,9.557278,1.099360
worker_3,13,1788087216.508774,50,9.565723,1.098112
worker_3,14,1788087216.518356,50,9.590852,1.097728
worker_3,15,1788087216.527969,50,9.540907,1.097408
worker_3,16,1788087216.537521,50,9.591195,1.097376
worker_3,17,1788087216.547133,50,9.556889,1.098752
worker_3,18,1788087216.556707,50,9.558640,1.098016
worker_3,19,1788087216.566284,50,9.561490,1.098144
worker_3,20,1788087216.575862,50,9.558907,1.096512
worker_3,21,1788087216.585443,50,9.562555,1.097024
worker_3,22,1788087216.595023,50,9.552121,1.097440
worker_3,23,1788087216.604592,50,9.564675,1.097888
worker_3,24,1788087216.614174,50,9.776538,1.097088
worker_3,25,1788087216.623999,50,9.539925,1.097376
worker_3,26,1788087216.633587,50,9.528926,1.098048
worker_3,27,1788087216.643163,50,9.534704,1.099328
worker_3,28,1788087216.652746,50,9.335018,1.097056
worker_3,29,1788087216.662119,50,9.539361,1.097024
worker_3,30,1788087216.671678,50,9.584112,1.099104
worker_3,31,1788087216.681278,50,9.568092,1.099104
worker_3,32,1788087216.690862,50,9.578658,1.102816
worker_3,33,1788087216.700457,50,9.577649,1.099200
worker_3,34,1788087216.710050,50,9.584315,1.098176
worker_3,35,1788087216.719650,50,9.777604,1.097024
worker_3,36,1788087216.729475,50,9.326313,1.098976
worker_3,37,1788087216.738830,50,9.549843,1.099456
worker_3,38,1788087216.748398,50,9.558676,1.097184
worker_3,39,1788087216.757973,50,9.560279,1.097312
worker_3,40,1788087216.767551,50,9.564620,1.098176
worker_3,41,1788087216.777135,50,9.764539,1.096224
worker_3,42,1788087216.786949,50,9.324637,1.098432
worker_3,43,1788087216.796299,50,9.559446,1.099232
worker_3,44,1788087216.805878,50,9.560305,1.098528
worker_3,45,1788087216.815454,50,9.566398,1.101088
worker_3,46,1788087216.825041,50,9.761002,1.096160
worker_3,47,1788087216.834850,50,9.559288,1.096928
worker_3,48,1788087216.844457,50,9.529546,1.098048
worker_3,49,1788087216.854049,50,9.522565,1.098400
worker_3,50,1788087216.863620,50,9.536019,1.097792
worker_3,51,1788087216.873204,50,9.561286,1.097408
worker_3,52,1788087216.882813,50,9.531981,1.096992
worker_3,53,1788087216.892393,50,9.533806,1.097152
worker_3,54,1788087216.901977,50,9.530333,1.097376
worker_3,55,1788087216.911555,50,9.535593,1.097216
worker_3,56,1788087216.921139,50,9.679177,1.096768
worker_3,57,1788087216.930866,50,9.570973,1.096512
worker_3,58,1788087216.940486,50,9.533435,1.097056
worker_3,59,1788087216.950066,50,9.499064,1.096736
worker_3,60,1788087216.959613,50,9.344128,1.097600
worker_3,61,1788087216.968983,50,9.674233,1.096192
worker_3,62,1788087216.978705,50,9.266952,1.097344
worker_3,63,1788087216.987997,50,9.771688,1.098560
worker_3,64,1788087216.997820,50,9.322378,1.097600
worker_3,65,1788087217.007171,50,9.755186,1.099040
worker_3,66,1788087217.016975,50,9.327812,1.098496
worker_3,67,1788087217.026329,50,9.750667,1.097664
worker_3,68,1788087217.036143,50,9.306136,1.096224
worker_3,69,1788087217.045475,50,9.766178,1.097280
worker_3,70,1788087217.055290,50,9.328127,1.096768
worker_3,71,1788087217.064646,50,9.754344,1.096448
worker_3,72,1788087217.074449,50,9.339664,1.097344
worker_3,73,1788087217.083816,50,9.763789,1.104000
worker_3,74,1788087217.093629,50,9.352814,1.097760
worker_3,75,1788087217.103007,50,9.758909,1.097504
worker_3,76,1788087217.112818,50,9.321350,1.097472
worker_3,77,1788087217.122167,50,9.756853,1.098592
worker_3,78,1788087217.131974,50,9.314683,1.096768
worker_3,79,1788087217.141315,50,9.780094,1.099328
worker_3,80,1788087217.151144,50,9.324553,1.100128
worker_3,81,1788087217.160494,50,9.776992,1.096832
worker_3,82,1788087217.170320,50,9.328572,1.097760
worker_3,83,1788087217.179675,50,9.772807,1.096800
worker_3,84,1788087217.189496,50,9.321183,1.097728
worker_3,85,1788087217.198843,50,9.773603,1.098208
worker_3,86,1788087217.208665,50,9.313877,1.095552
worker_3,87,1788087217.218004,50,9.758585,1.096768
worker_3,88,1788087217.227824,50,9.314276,1.098720
worker_3,89,1788087217.237165,50,9.753103,1.098432
worker_3,90,1788087217.246967,50,9.325526,1.099296
worker_3,91,1788087217.256319,50,9.758363,1.097792
worker_3,92,1788087217.266128,50,9.326017,1.098400
worker_3,93,1788087217.275482,50,9.760974,1.097824
worker_3,94,1788087217.285291,50,9.334136,1.098080
worker_3,95,1788087217.294652,50,9.763428,1.098368
worker_3,96,1788087217.304466,50,9.333284,1.098944
worker_3,97,1788087217.313827,50,9.761104,1.096256
worker_3,98,1788087217.323637,50,9.326239,1.098208
worker_3,99,1788087217.332989,50,9.786327,1.097472
worker_3,100,1788087217.342824,50,9.339286,1.098240
worker_3,101,1788087217.352188,50,9.823900,1.095456
worker_3,102,1788087217.362061,50,9.247349,1.098048
worker_3,103,1788087217.371335,50,9.549028,1.097600
worker_3,104,1788087217.380899,50,9.586852,1.096224
worker_3,105,1788087217.390504,50,9.560777,1.096352
worker_3,106,1788087217.400082,50,9.563510,1.098112
worker_3,107,1788087217.409675,50,9.552482,1.097536
worker_3,108,1788087217.419246,50,9.587353,1.098784
worker_3,109,1788087217.428853,50,9.561001,1.096096
worker_3,110,1788087217.438429,50,9.566898,1.097248
worker_3,111,1788087217.448013,50,9.578714,1.105312
worker_3,112,1788087217.457608,50,9.553537,1.097696
worker_3,113,1788087217.467176,50,9.794632,1.097216
worker_3,114,1788087217.477021,50,9.522954,1.097504
worker_3,115,1788087217.486594,50,9.553398,1.097088
worker_3,116,1788087217.496198,50,9.310934,1.097504
worker_3,117,1788087217.505534,50,9.550722,1.097184
worker_3,118,1788087217.515104,50,9.563602,1.099744
worker_3,119,1788087217.524684,50,9.567733,1.098432
worker_3,120,1788087217.534269,50,9.560473,1.099072
worker_3,121,1788087217.543846,50,9.782595,1.098720
worker_3,122,1788087217.553678,50,9.527917,1.097504
worker_3,123,1788087217.563254,50,9.559768,1.110784
worker_3,124,1788087217.572863,50,9.532759,1.095904
worker_3,125,1788087217.582444,50,9.536158,1.097376
worker_3,126,1788087217.592029,50,9.535862,1.097408
worker_3,127,1788087217.601626,50,9.526769,1.097888
worker_3,128,1788087217.611204,50,9.526398,1.097440
