label,batch,start_unix_s,operations,wall_ms,cuda_batch_ms
worker_1,0,1788087216.384482,50,3.777098,3.469440
worker_1,1,1788087216.388309,50,9.009134,1.096992
worker_1,2,1788087216.397348,50,9.571148,1.096768
worker_1,3,1788087216.406950,50,9.702825,1.096256
worker_1,4,1788087216.416675,50,9.544972,1.096128
worker_1,5,1788087216.426240,50,9.569093,1.097824
worker_1,6,1788087216.435827,50,9.448174,1.098880
worker_1,7,1788087216.445300,50,9.682945,1.097856
worker_1,8,1788087216.455005,50,9.581684,1.105984
worker_1,9,1788087216.464605,50,9.429239,1.095712
worker_1,10,1788087216.474063,50,9.534842,1.096608
worker_1,11,1788087216.483622,50,9.569074,1.097184
worker_1,12,1788087216.493212,50,9.557037,1.097632
worker_1,13,1788087216.502787,50,9.566010,1.096512
worker_1,14,1788087216.512370,50,9.600842,1.097536
worker_1,15,1788087216.522019,50,9.524324,1.096512
worker_1,16,1788087216.531573,50,9.531740,1.097440
worker_1,17,1788087216.541127,50,9.625287,1.096608
worker_1,18,1788087216.550779,50,9.509647,1.096608
worker_1,19,1788087216.560309,50,9.548917,1.096736
worker_1,20,1788087216.569876,50,9.560444,1.097056
worker_1,21,1788087216.579454,50,9.553999,1.097888
worker_1,22,1788087216.589024,50,9.578721,1.097312
worker_1,23,1788087216.598624,50,9.543380,1.095808
worker_1,24,1788087216.608190,50,9.559435,1.096704
worker_1,25,1788087216.617767,50,9.567316,1.096224
worker_1,26,1788087216.627356,50,9.567259,1.098912
worker_1,27,1788087216.636941,50,9.554473,1.097824
worker_1,28,1788087216.646513,50,9.568500,1.098656
worker_1,29,1788087216.656113,50,9.559722,1.097728
worker_1,30,1788087216.665694,50,9.551612,1.096096
worker_1,31,1788087216.675266,50,9.595009,1.101440
worker_1,32,1788087216.684880,50,9.564436,1.098880
worker_1,33,1788087216.694461,50,9.583953,1.096832
worker_1,34,1788087216.704063,50,9.584075,1.096928
worker_1,35,1788087216.713664,50,9.564270,1.097184
worker_1,36,1788087216.723244,50,9.570509,1.100512
worker_1,37,1788087216.732835,50,9.558122,1.100160
worker_1,38,1788087216.742411,50,9.563213,1.096640
worker_1,39,1788087216.751991,50,9.555473,1.096480
worker_1,40,1788087216.761564,50,9.563240,1.098880
worker_1,41,1788087216.771144,50,9.560214,1.098944
worker_1,42,1788087216.780722,50,9.561074,1.097600
worker_1,43,1788087216.790299,50,9.562018,1.098304
worker_1,44,1788087216.799878,50,9.572185,1.099104
worker_1,45,1788087216.809466,50,9.558417,1.095680
