label,batch,start_unix_s,operations,wall_ms,cuda_batch_ms
worker_5,0,1788087216.388631,50,3.891210,1.097792
worker_5,1,1788087216.392571,50,9.536204,1.098112
worker_5,2,1788087216.402137,50,9.555731,1.097792
worker_5,3,1788087216.411716,50,9.572973,1.100608
worker_5,4,1788087216.421307,50,9.628566,1.097440
worker_5,5,1788087216.430958,50,9.640353,1.099008
worker_5,6,1788087216.440617,50,9.568500,1.098016
worker_5,7,1788087216.450204,50,9.558907,1.098464
worker_5,8,1788087216.459781,50,9.597898,1.098944
worker_5,9,1788087216.469397,50,9.413601,1.096384
worker_5,10,1788087216.478841,50,9.536398,1.098016
worker_5,11,1788087216.488398,50,9.581305,1.097184
worker_5,12,1788087216.497997,50,9.560695,1.097536
worker_5,13,1788087216.507575,50,9.586111,1.096896
worker_5,14,1788087216.517189,50,9.580935,1.099776
worker_5,15,1788087216.526805,50,9.527177,1.097312
worker_5,16,1788087216.536355,50,9.565555,1.098144
worker_5,17,1788087216.545949,50,9.540360,1.097472
worker_5,18,1788087216.555511,50,9.555565,1.098432
worker_5,19,1788087216.565085,50,9.562973,1.099712
worker_5,20,1788087216.574668,50,9.557833,1.097344
worker_5,21,1788087216.584243,50,9.562416,1.095712
worker_5,22,1788087216.593822,50,9.553102,1.097120
worker_5,23,1788087216.603391,50,9.565760,1.101056
worker_5,24,1788087216.612975,50,9.560286,1.097536
worker_5,25,1788087216.622551,50,9.574666,1.097792
worker_5,26,1788087216.632143,50,9.561203,1.096544
worker_5,27,1788087216.641722,50,9.556899,1.097376
worker_5,28,1788087216.651295,50,9.579537,1.105024
worker_5,29,1788087216.660904,50,9.596964,1.096960
worker_5,30,1788087216.670544,50,9.545408,1.096992
worker_5,31,1788087216.680124,50,9.524694,1.097248
worker_5,32,1788087216.689672,50,9.560981,1.097248
worker_5,33,1788087216.699254,50,9.580454,1.098336
worker_5,34,1788087216.708851,50,9.585242,1.098048
worker_5,35,1788087216.718452,50,9.584213,1.098400
worker_5,36,1788087216.728074,50,9.525249,1.097312
worker_5,37,1788087216.737622,50,9.556611,1.098240
worker_5,38,1788087216.747199,50,9.567371,1.100288
worker_5,39,1788087216.756787,50,9.548527,1.098560
worker_5,40,1788087216.766356,50,9.557575,1.099168
worker_5,41,1788087216.775931,50,9.575138,1.097408
worker_5,42,1788087216.785532,50,9.547731,1.096896
worker_5,43,1788087216.795101,50,9.559713,1.107680
worker_5,44,1788087216.804679,50,9.563149,1.096192
worker_5,45,1788087216.814263,50,9.557028,1.098688
worker_5,46,1788087216.823840,50,9.563888,1.096768
worker_5,47,1788087216.833427,50,9.576981,1.098560
worker_5,48,1788087216.843022,50,9.554973,1.098592
worker_5,49,1788087216.852595,50,9.609639,1.097952
worker_5,50,1788087216.862247,50,9.530963,1.097152
worker_5,51,1788087216.871814,50,9.542787,1.097792
worker_5,52,1788087216.881381,50,9.570353,1.098080
worker_5,53,1788087216.890982,50,9.540583,1.096160
worker_5,54,1788087216.900546,50,9.574806,1.096864
worker_5,55,1788087216.910157,50,9.524667,1.096768
worker_5,56,1788087216.919705,50,9.713752,1.096672
worker_5,57,1788087216.929442,50,9.564352,1.098816
worker_5,58,1788087216.939028,50,9.560084,1.097920
worker_5,59,1788087216.948607,50,9.576899,1.096576
worker_5,60,1788087216.958210,50,9.546583,1.096832
worker_5,61,1788087216.967777,50,9.558018,1.099136
worker_5,62,1788087216.977352,50,9.452268,1.095808
worker_5,63,1788087216.986843,50,9.516073,1.096032
worker_5,64,1788087216.996393,50,9.548472,1.098912
worker_5,65,1788087217.005963,50,9.558972,1.095808
worker_5,66,1788087217.015544,50,9.554574,1.099584
worker_5,67,1788087217.025117,50,9.578361,1.096960
worker_5,68,1788087217.034744,50,9.716297,1.096256
worker_5,69,1788087217.044506,50,9.534934,1.096672
worker_5,70,1788087217.054088,50,9.529323,1.098560
worker_5,71,1788087217.063664,50,9.390850,1.098432
worker_5,72,1788087217.073104,50,9.486332,1.096800
worker_5,73,1788087217.082616,50,9.548619,1.096896
worker_5,74,1788087217.092184,50,9.593777,1.105856
worker_5,75,1788087217.101795,50,9.561258,1.096736
worker_5,76,1788087217.111376,50,9.573222,1.097504
worker_5,77,1788087217.120975,50,9.543369,1.096736
worker_5,78,1788087217.130537,50,9.760455,1.097728
worker_5,79,1788087217.140347,50,9.546797,1.102368
worker_5,80,1788087217.149941,50,9.532064,1.098816
worker_5,81,1788087217.159521,50,9.343906,1.100416
worker_5,82,1788087217.168891,50,9.552176,1.097056
worker_5,83,1788087217.178462,50,9.574545,1.098880
worker_5,84,1788087217.188054,50,9.561268,1.097184
worker_5,85,1788087217.197632,50,9.568138,1.097568
worker_5,86,1788087217.207216,50,9.561899,1.097408
worker_5,87,1788087217.216793,50,9.575796,1.099776
worker_5,88,1788087217.226406,50,9.734362,1.097696
worker_5,89,1788087217.236188,50,9.525889,1.096672
worker_5,90,1788087217.245762,50,9.534750,1.096640
worker_5,91,1788087217.255346,50,9.529713,1.103488
worker_5,92,1788087217.264925,50,9.328711,1.098144
worker_5,93,1788087217.274282,50,9.552019,1.098624
worker_5,94,1788087217.283853,50,9.568630,1.098816
worker_5,95,1788087217.293439,50,9.559019,1.097760
worker_5,96,1788087217.303014,50,9.583705,1.104576
worker_5,97,1788087217.312614,50,9.580019,1.097568
worker_5,98,1788087217.322219,50,9.547954,1.097184
worker_5,99,1788087217.331785,50,9.578334,1.096800
worker_5,100,1788087217.341380,50,9.579657,1.097376
worker_5,101,1788087217.350975,50,9.736169,1.097152
worker_5,102,1788087217.360736,50,9.369573,1.096096
worker_5,103,1788087217.370125,50,9.589102,1.096384
worker_5,104,1788087217.379741,50,9.548991,1.099264
worker_5,105,1788087217.389311,50,9.558083,1.098560
worker_5,106,1788087217.398886,50,9.561584,1.100832
worker_5,107,1788087217.408476,50,9.553509,1.098496
worker_5,108,1788087217.418049,50,9.594463,1.097984
worker_5,109,1788087217.427667,50,9.763066,1.097120
worker_5,110,1788087217.437478,50,9.537278,1.096704
worker_5,111,1788087217.447064,50,9.544324,1.098048
worker_5,112,1788087217.456657,50,9.311480,1.097984
worker_5,113,1788087217.465994,50,9.559416,1.097664
worker_5,114,1788087217.475572,50,9.556723,1.097792
worker_5,115,1788087217.485146,50,9.581953,1.096064
worker_5,116,1788087217.494745,50,9.561548,1.099296
worker_5,117,1788087217.504323,50,9.563546,1.097664
worker_5,118,1788087217.513902,50,9.571509,1.098048
worker_5,119,1788087217.523492,50,9.561529,1.100352
worker_5,120,1788087217.533071,50,9.774891,1.098720
worker_5,121,1788087217.542897,50,9.527444,1.096448
worker_5,122,1788087217.552473,50,9.385008,1.096224
worker_5,123,1788087217.561909,50,9.477398,1.098464
worker_5,124,1788087217.571413,50,9.566296,1.101696
worker_5,125,1788087217.581001,50,9.564834,1.097280
worker_5,126,1788087217.590583,50,9.566714,1.099136
worker_5,127,1788087217.600182,50,9.560834,1.099136
worker_5,128,1788087217.609762,50,9.549000,1.096992
worker_5,129,1788087217.619328,50,9.559852,1.098976
worker_5,130,1788087217.628906,50,9.565973,1.097792
worker_5,131,1788087217.638488,50,9.574898,1.096960
worker_5,132,1788087217.648079,50,9.559462,1.096960
worker_5,133,1788087217.657654,50,9.782012,1.096448
worker_5,134,1788087217.667485,50,9.544074,1.098496
worker_5,135,1788087217.677078,50,9.530055,1.095744
worker_5,136,1788087217.686657,50,9.322304,1.098240
worker_5,137,1788087217.696005,50,9.555592,1.097504
worker_5,138,1788087217.705578,50,9.563686,1.097056
worker_5,139,1788087217.715158,50,9.569259,1.098272
worker_5,140,1788087217.724745,50,9.581491,1.096000
worker_5,141,1788087217.734344,50,9.761539,1.097760
worker_5,142,1788087217.744156,50,9.532769,1.098528
