label,batch,start_unix_s,operations,wall_ms,cuda_batch_ms
worker_6,0,1788087216.384890,50,3.438270,1.102112
worker_6,1,1788087216.388390,50,7.739697,1.098048
worker_6,2,1788087216.396165,50,9.559787,1.101216
worker_6,3,1788087216.405760,50,9.532935,1.096864
worker_6,4,1788087216.415314,50,9.718648,1.099488
worker_6,5,1788087216.425059,50,9.555768,1.096288
worker_6,6,1788087216.434633,50,9.571861,1.098304
worker_6,7,1788087216.444240,50,9.559036,1.098144
worker_6,8,1788087216.453825,50,9.544834,1.098048
worker_6,9,1788087216.463397,50,9.588269,1.098400
worker_6,10,1788087216.473023,50,9.380378,1.097280
worker_6,11,1788087216.482426,50,9.570472,1.105344
worker_6,12,1788087216.492013,50,9.562111,1.098752
worker_6,13,1788087216.501594,50,9.568323,1.099776
worker_6,14,1788087216.511181,50,9.553685,1.097280
worker_6,15,1788087216.520751,50,9.582332,1.097216
worker_6,16,1788087216.530351,50,9.557825,1.098240
worker_6,17,1788087216.539927,50,9.574407,1.098496
worker_6,18,1788087216.549519,50,9.564611,1.099680
worker_6,19,1788087216.559099,50,9.564269,1.095808
worker_6,20,1788087216.568682,50,9.559629,1.098816
worker_6,21,1788087216.578259,50,9.556833,1.098336
worker_6,22,1788087216.587834,50,9.565056,1.098944
worker_6,23,1788087216.597416,50,9.765363,1.098432
worker_6,24,1788087216.607231,50,9.326081,1.098912
worker_6,25,1788087216.616583,50,9.550028,1.097568
worker_6,26,1788087216.626153,50,9.570158,1.098528
worker_6,27,1788087216.635742,50,9.560000,1.099104
worker_6,28,1788087216.645319,50,9.564879,1.098720
worker_6,29,1788087216.654917,50,9.558509,1.096288
worker_6,30,1788087216.664496,50,9.556528,1.097824
worker_6,31,1788087216.674069,50,9.595825,1.098624
worker_6,32,1788087216.683686,50,9.564277,1.102784
worker_6,33,1788087216.693268,50,9.582510,1.101312
worker_6,34,1788087216.702866,50,9.572446,1.103456
worker_6,35,1788087216.712455,50,9.577277,1.099040
worker_6,36,1788087216.722048,50,9.561880,1.096768
worker_6,37,1788087216.731625,50,9.569018,1.100768
worker_6,38,1788087216.741211,50,9.566825,1.097024
worker_6,39,1788087216.750793,50,9.558425,1.098688
worker_6,40,1788087216.760369,50,9.565353,1.098944
worker_6,41,1788087216.769953,50,9.556472,1.096352
worker_6,42,1788087216.779526,50,9.773826,1.102016
worker_6,43,1788087216.789349,50,9.520852,1.098528
worker_6,44,1788087216.798920,50,9.537768,1.097920
worker_6,45,1788087216.808505,50,9.329924,1.098880
worker_6,46,1788087216.817859,50,9.551389,1.096640
worker_6,47,1788087216.827429,50,9.559259,1.099008
worker_6,48,1788087216.837006,50,9.587630,1.097280
worker_6,49,1788087216.846611,50,9.563750,1.099328
worker_6,50,1788087216.856190,50,9.784548,1.097632
worker_6,51,1788087216.866024,50,9.525880,1.098272
worker_6,52,1788087216.875600,50,9.561473,1.101344
worker_6,53,1788087216.885208,50,9.539509,1.099104
worker_6,54,1788087216.894795,50,9.321452,1.096704
worker_6,55,1788087216.904142,50,9.549797,1.097824
worker_6,56,1788087216.913712,50,9.558704,1.098592
worker_6,57,1788087216.923288,50,9.714659,1.097824
worker_6,58,1788087216.933021,50,9.439091,1.098624
worker_6,59,1788087216.942477,50,9.710872,1.097376
worker_6,60,1788087216.952205,50,9.563111,1.097376
worker_6,61,1788087216.961785,50,9.443184,1.096864
worker_6,62,1788087216.971247,50,9.560954,1.099328
worker_6,63,1788087216.980828,50,9.534120,1.096576
worker_6,64,1788087216.990380,50,9.785316,1.097888
worker_6,65,1788087217.000232,50,9.512676,1.098880
worker_6,66,1788087217.009794,50,9.532407,1.098848
worker_6,67,1788087217.019375,50,9.320914,1.098592
worker_6,68,1788087217.028735,50,9.538212,1.098656
