08-30-2026 19:49:10 RAM 4667/125749MB (lfb 70x4MB) CPU [23%@2160,30%@2160,8%@1404,16%@1404,7%@1782,0%@1782,7%@1728,15%@1728,8%@1782,16%@1782,0%@1242,7%@1242,30%@1782,0%@1782] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@44.687C/44.687C tj@45.468C/45.468C soc012@43.406C/43.406C gpu@45.468C/45.468C soc345@42.312C/42.312C VDD_GPU 5535mW/5535mW/5535mW VDD_CPU_SOC_MSS 6323mW/6323mW/6323mW VIN_SYS_5V0 6148mW/6148mW/6148mW VIN 29148mW/14574mW/29148mW
08-30-2026 19:49:10 RAM 4664/125749MB (lfb 69x4MB) CPU [0%@2601,84%@2601,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,8%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@45.031C/45.031C tj@45.375C/45.468C soc012@43.343C/43.406C gpu@45.375C/45.468C soc345@42.468C/42.468C VDD_GPU 5930mW/5667mW/5930mW VDD_CPU_SOC_MSS 6718mW/6455mW/6718mW VIN_SYS_5V0 6249mW/6182mW/6249mW VIN 27422mW/17786mW/29148mW
08-30-2026 19:49:10 RAM 4654/125749MB (lfb 69x4MB) CPU [7%@1242,15%@1242,0%@972,0%@972,0%@1350,0%@1350,0%@1674,0%@1674,0%@1512,7%@1512,0%@1728,15%@1728,16%@1458,0%@1458] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@44.062C/45.031C tj@45.343C/45.468C soc012@44.281C/44.281C gpu@45.343C/45.468C soc345@42.312C/42.468C VDD_GPU 5930mW/5719mW/5930mW VDD_CPU_SOC_MSS 6718mW/6507mW/6718mW VIN_SYS_5V0 6249mW/6195mW/6249mW VIN 26802mW/19289mW/29148mW
08-30-2026 19:49:11 RAM 4669/125749MB (lfb 69x4MB) CPU [0%@972,0%@972,0%@1620,30%@1620,8%@972,7%@972,7%@972,0%@972,8%@972,0%@972,0%@972,38%@972,0%@972,8%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@44.281C/45.031C tj@45.281C/45.468C soc012@43.562C/44.281C gpu@45.281C/45.468C soc345@42.343C/42.468C VDD_GPU 5930mW/5749mW/5930mW VDD_CPU_SOC_MSS 6718mW/6537mW/6718mW VIN_SYS_5V0 6350mW/6217mW/6350mW VIN 24442mW/19933mW/29148mW
08-30-2026 19:49:11 RAM 4676/125749MB (lfb 70x4MB) CPU [0%@972,8%@972,0%@1674,0%@1674,23%@1620,0%@1620,15%@1782,16%@1782,15%@1458,0%@1458,8%@1350,8%@1350,7%@972,8%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@44.187C/45.031C tj@45.312C/45.468C soc012@43.375C/44.281C gpu@45.312C/45.468C soc345@42.343C/42.468C VDD_GPU 5930mW/5769mW/5930mW VDD_CPU_SOC_MSS 7113mW/6601mW/7113mW VIN_SYS_5V0 6451mW/6243mW/6451mW VIN 26812mW/20621mW/29148mW
08-30-2026 19:49:11 RAM 4691/125749MB (lfb 70x4MB) CPU [0%@972,0%@972,7%@1674,0%@1674,0%@2484,75%@2484,0%@972,7%@972,0%@972,0%@972,15%@1350,0%@1350,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@44.75C/45.031C tj@45.468C/45.468C soc012@43.25C/44.281C gpu@45.468C/45.468C soc345@42.375C/42.468C VDD_GPU 5930mW/5784mW/5930mW VDD_CPU_SOC_MSS 7113mW/6648mW/7113mW VIN_SYS_5V0 6552mW/6271mW/6552mW VIN 27356mW/21182mW/29148mW
08-30-2026 19:49:11 RAM 4685/125749MB (lfb 70x4MB) CPU [0%@972,0%@972,0%@1674,23%@1674,15%@1350,7%@1350,21%@972,25%@972,0%@1350,8%@1350,15%@972,23%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@43.937C/45.031C tj@45.375C/45.468C soc012@43.25C/44.281C gpu@45.375C/45.468C soc345@42.312C/42.468C VDD_GPU 6325mW/5826mW/6325mW VDD_CPU_SOC_MSS 7113mW/6684mW/7113mW VIN_SYS_5V0 6552mW/6293mW/6552mW VIN 25914mW/21520mW/29148mW
08-30-2026 19:49:11 RAM 4685/125749MB (lfb 70x4MB) CPU [0%@1296,8%@1296,8%@972,0%@972,7%@1026,0%@1026,0%@1134,14%@1134,0%@1566,7%@1566,0%@972,0%@972,7%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@43.937C/45.031C tj@45.312C/45.468C soc012@43.156C/44.281C gpu@45.312C/45.468C soc345@42.281C/42.468C VDD_GPU 6325mW/5859mW/6325mW VDD_CPU_SOC_MSS 6718mW/6686mW/7113mW VIN_SYS_5V0 6451mW/6303mW/6552mW VIN 25138mW/21746mW/29148mW
08-30-2026 19:49:11 RAM 4685/125749MB (lfb 70x4MB) CPU [7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,7%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@43.906C/45.031C tj@45.281C/45.468C soc012@43.031C/44.281C gpu@45.218C/45.468C soc345@42.281C/42.468C VDD_GPU 5930mW/5863mW/6325mW VDD_CPU_SOC_MSS 6718mW/6688mW/7113mW VIN_SYS_5V0 6350mW/6306mW/6552mW VIN 25196mW/21938mW/29148mW
08-30-2026 19:49:11 RAM 4685/125749MB (lfb 70x4MB) CPU [7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,7%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@43.781C/45.031C tj@45.343C/45.468C soc012@43.031C/44.281C gpu@45.343C/45.468C soc345@42.281C/42.468C VDD_GPU 5930mW/5867mW/6325mW VDD_CPU_SOC_MSS 6323mW/6669mW/7113mW VIN_SYS_5V0 6249mW/6303mW/6552mW VIN 25340mW/22108mW/29148mW
08-30-2026 19:49:11 RAM 4684/125749MB (lfb 70x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@43.75C/45.031C tj@45.187C/45.468C soc012@43.031C/44.281C gpu@45.187C/45.468C soc345@42.343C/42.468C VDD_GPU 5930mW/5870mW/6325mW VDD_CPU_SOC_MSS 6323mW/6652mW/7113mW VIN_SYS_5V0 6148mW/6296mW/6552mW VIN 24530mW/22218mW/29148mW
