label,batch,start_unix_s,operations,wall_ms,cuda_batch_ms
worker_1,0,1788087290.769405,50,14.359404,14.156448
worker_1,1,1788087290.783823,50,15.923853,15.818784
worker_1,2,1788087290.799791,50,15.815926,15.733536
worker_1,3,1788087290.815640,50,15.907529,15.844160
worker_1,4,1788087290.831574,50,15.882324,15.828576
worker_1,5,1788087290.847479,50,15.653055,15.595232
worker_1,6,1788087290.863158,50,15.793139,15.727552
worker_1,7,1788087290.878977,50,15.784371,15.714208
worker_1,8,1788087290.894793,50,15.779667,15.702688
worker_1,9,1788087290.910601,50,15.831046,15.636832
worker_1,10,1788087290.926465,50,15.906344,15.691968
worker_1,11,1788087290.942403,50,15.804426,15.723840
worker_1,12,1788087290.958234,50,15.780972,15.714816
worker_1,13,1788087290.974039,50,15.759426,15.693600
worker_1,14,1788087290.989820,50,15.767843,15.707008
worker_1,15,1788087291.005610,50,15.753120,15.696352
worker_1,16,1788087291.021385,50,15.751230,15.691680
worker_1,17,1788087291.037158,50,15.757472,15.698624
worker_1,18,1788087291.052937,50,15.756056,15.692256
worker_1,19,1788087291.068712,50,15.749952,15.683680
worker_1,20,1788087291.084479,50,15.800787,15.732800
worker_1,21,1788087291.100305,50,15.789554,15.723968
worker_1,22,1788087291.116118,50,15.718971,15.668736
worker_1,23,1788087291.131855,50,15.698943,15.648288
worker_1,24,1788087291.147574,50,15.606831,15.548192
worker_1,25,1788087291.163203,50,15.780555,15.719040
worker_1,26,1788087291.179004,50,15.737943,15.677888
worker_1,27,1788087291.194766,50,15.771815,15.705920
worker_1,28,1788087291.210560,50,15.693443,15.630688
worker_1,29,1788087291.226285,50,15.831631,15.770912
worker_1,30,1788087291.242137,50,15.730628,15.681696
worker_1,31,1788087291.257885,50,15.973558,15.924704
worker_1,32,1788087291.273879,50,15.771232,15.716288
worker_1,33,1788087291.289672,50,15.639628,15.584768
worker_1,34,1788087291.305329,50,15.712074,15.667040
worker_1,35,1788087291.321060,50,15.698722,15.654816
worker_1,36,1788087291.336774,50,15.768149,15.721696
worker_1,37,1788087291.352559,50,15.760223,15.707072
worker_1,38,1788087291.368334,50,15.678953,15.634752
worker_1,39,1788087291.384028,50,15.794676,15.729536
worker_1,40,1788087291.399857,50,15.705981,15.632320
worker_1,41,1788087291.415588,50,15.607786,15.553536
worker_1,42,1788087291.431215,50,15.778953,15.732416
worker_1,43,1788087291.447011,50,15.809445,15.752000
worker_1,44,1788087291.462845,50,15.716481,15.652480
worker_1,45,1788087291.478581,50,15.700360,15.638240
worker_1,46,1788087291.494308,50,15.810297,15.734944
worker_1,47,1788087291.510148,50,15.652351,15.583808
worker_1,48,1788087291.525824,50,15.815214,15.755776
worker_1,49,1788087291.541674,50,15.793223,15.742496
worker_1,50,1788087291.557485,50,15.769945,15.721696
worker_1,51,1788087291.573272,50,15.728694,15.674016
worker_1,52,1788087291.589022,50,15.752695,15.697024
worker_1,53,1788087291.604794,50,15.730370,15.683104
worker_1,54,1788087291.620541,50,15.656999,15.609888
worker_1,55,1788087291.636228,50,15.717944,15.672768
worker_1,56,1788087291.651963,50,15.737064,15.690720
worker_1,57,1788087291.667718,50,15.815991,15.767552
worker_1,58,1788087291.683552,50,15.863602,15.812800
worker_1,59,1788087291.699435,50,15.663471,15.613120
worker_1,60,1788087291.715117,50,15.578775,15.528512
worker_1,61,1788087291.730714,50,15.700712,15.647680
worker_1,62,1788087291.746431,50,15.651664,15.604032
worker_1,63,1788087291.762101,50,15.648999,15.601728
worker_1,64,1788087291.777767,50,15.737814,15.687040
worker_1,65,1788087291.793523,50,15.724619,15.677760
worker_1,66,1788087291.809264,50,15.679749,15.630720
worker_1,67,1788087291.824959,50,15.696387,15.649536
worker_1,68,1788087291.840682,50,15.739684,15.694528
worker_1,69,1788087291.856436,50,15.653869,15.608384
worker_1,70,1788087291.872106,50,15.600174,15.549152
worker_1,71,1788087291.887724,50,15.681638,15.631840
worker_1,72,1788087291.903425,50,15.803936,15.758912
worker_1,73,1788087291.919246,50,15.841992,15.797248
worker_1,74,1788087291.935105,50,15.754407,15.709568
worker_1,75,1788087291.950876,50,15.747157,15.700608
worker_1,76,1788087291.966641,50,15.747815,15.695872
worker_1,77,1788087291.982414,50,15.658361,15.598560
worker_1,78,1788087291.998096,50,15.607656,15.554016
worker_1,79,1788087292.013721,50,15.677490,15.627712
worker_1,80,1788087292.029416,50,15.821324,15.777440
worker_1,81,1788087292.045254,50,15.768693,15.723232
worker_1,82,1788087292.061039,50,15.718602,15.663840
worker_1,83,1788087292.076776,50,15.750851,15.699040
worker_1,84,1788087292.092545,50,15.759315,15.624480
worker_1,85,1788087292.108352,50,15.983289,15.661376
worker_1,86,1788087292.124382,50,16.094170,15.767584
worker_1,87,1788087292.140524,50,16.113956,15.791200
worker_1,88,1788087292.156704,50,15.912862,15.789760
worker_1,89,1788087292.172641,50,15.731991,15.674464
worker_1,90,1788087292.188391,50,15.661277,15.612672
worker_1,91,1788087292.204069,50,15.786269,15.521376
worker_1,92,1788087292.219905,50,15.862890,15.738208
worker_1,93,1788087292.235795,50,15.939797,15.669920
worker_1,94,1788087292.251780,50,16.210967,15.885056
worker_1,95,1788087292.268039,50,16.025613,15.901856
worker_1,96,1788087292.284090,50,15.692925,15.633792
worker_1,97,1788087292.299802,50,15.796315,15.519552
worker_1,98,1788087292.315647,50,16.034567,15.694528
worker_1,99,1788087292.331729,50,16.144577,15.808000
worker_1,100,1788087292.347922,50,16.127476,15.801600
worker_1,101,1788087292.364098,50,15.969131,15.847904
worker_1,102,1788087292.380093,50,15.865686,15.804736
worker_1,103,1788087292.395977,50,15.907325,15.646848
worker_1,104,1788087292.411932,50,15.932019,15.603520
worker_1,105,1788087292.427911,50,16.035816,15.706208
worker_1,106,1788087292.443992,50,16.057142,15.734368
worker_1,107,1788087292.460113,50,15.905056,15.783840
worker_1,108,1788087292.476047,50,15.704888,15.649088
worker_1,109,1788087292.491771,50,15.809630,15.554688
worker_1,110,1788087292.507627,50,16.148105,15.778560
worker_1,111,1788087292.523823,50,15.959252,15.631200
worker_1,112,1788087292.539829,50,16.034399,15.707264
worker_1,113,1788087292.555910,50,15.793102,15.673280
worker_1,114,1788087292.571728,50,15.723915,15.667456
worker_1,115,1788087292.587470,50,15.615481,15.566016
worker_1,116,1788087292.603102,50,15.866963,15.608160
worker_1,117,1788087292.619017,50,15.925733,15.601632
worker_1,118,1788087292.634991,50,15.779612,15.655456
worker_1,119,1788087292.650795,50,15.635102,15.581792
worker_1,120,1788087292.666449,50,15.654508,15.608448
worker_1,121,1788087292.682122,50,15.559406,15.496640
worker_1,122,1788087292.697704,50,15.767139,15.706368
worker_1,123,1788087292.713491,50,15.643822,15.590528
worker_1,124,1788087292.729154,50,15.869075,15.659168
worker_1,125,1788087292.745039,50,15.811121,15.558976
worker_1,126,1788087292.760898,50,15.780639,15.654496
worker_1,127,1788087292.776720,50,15.721296,15.657216
worker_1,128,1788087292.792466,50,15.715436,15.654208
worker_1,129,1788087292.808203,50,15.764666,15.485696
worker_1,130,1788087292.824013,50,15.999057,15.667968
worker_1,131,1788087292.840060,50,15.812723,15.686528
worker_1,132,1788087292.855901,50,15.711722,15.626976
worker_1,133,1788087292.871647,50,15.745546,15.643776
worker_1,134,1788087292.887417,50,15.590869,15.528224
worker_1,135,1788087292.903026,50,15.865852,15.600448
worker_1,136,1788087292.918939,50,16.029198,15.701248
worker_1,137,1788087292.935015,50,15.850500,15.727904
worker_1,138,1788087292.950892,50,15.746638,15.687776
worker_1,139,1788087292.966661,50,15.653666,15.597216
worker_1,140,1788087292.982332,50,15.616026,15.557248
worker_1,141,1788087292.997969,50,15.714147,15.657088
worker_1,142,1788087293.013703,50,15.879223,15.614528
worker_1,143,1788087293.029630,50,15.779499,15.657056
worker_1,144,1788087293.045435,50,15.608841,15.552320
worker_1,145,1788087293.061063,50,15.690351,15.642048
worker_1,146,1788087293.076786,50,15.543877,15.476896
worker_1,147,1788087293.092354,50,15.522302,15.456864
worker_1,148,1788087293.107899,50,15.567711,15.512608
worker_1,149,1788087293.123484,50,15.738526,15.476320
worker_1,150,1788087293.139391,50,15.728092,15.588704
worker_1,151,1788087293.155147,50,15.604109,15.543776
worker_1,152,1788087293.170772,50,15.598035,15.543904
worker_1,153,1788087293.186390,50,15.483460,15.430272
worker_1,154,1788087293.201893,50,15.419765,15.367456
worker_1,155,1788087293.217331,50,15.645165,15.595680
worker_1,156,1788087293.232995,50,15.712896,15.664928
worker_1,157,1788087293.248724,50,15.682508,15.633728
worker_1,158,1788087293.264423,50,15.592980,15.544128
worker_1,159,1788087293.280033,50,15.646332,15.596480
worker_1,160,1788087293.295696,50,15.585138,15.530432
worker_1,161,1788087293.311303,50,15.755351,15.703744
worker_1,162,1788087293.327076,50,15.938456,15.672640
worker_1,163,1788087293.343064,50,15.968817,15.843584
