label,batch,start_unix_s,operations,wall_ms,cuda_batch_ms
worker_3,0,1788087030.583000,50,2.966016,2.605440
worker_3,1,1788087030.586009,50,3.636902,1.096736
worker_3,2,1788087030.589673,50,4.765411,1.095680
worker_3,3,1788087030.594462,50,4.758225,1.097184
worker_3,4,1788087030.599241,50,4.764466,1.098112
worker_3,5,1788087030.604023,50,4.767014,1.097088
worker_3,6,1788087030.608807,50,4.765605,1.096288
worker_3,7,1788087030.613589,50,4.788504,1.097376
worker_3,8,1788087030.618403,50,4.749670,1.097376
worker_3,9,1788087030.623174,50,4.756726,1.096608
worker_3,10,1788087030.627959,50,4.964163,1.098624
worker_3,11,1788087030.632972,50,4.744864,1.096768
worker_3,12,1788087030.637765,50,4.743939,1.096800
worker_3,13,1788087030.642555,50,4.740494,1.097632
worker_3,14,1788087030.647342,50,4.542362,1.099392
worker_3,15,1788087030.651909,50,4.962339,1.097568
worker_3,16,1788087030.656919,50,4.729272,1.096768
worker_3,17,1788087030.661695,50,4.762160,1.110752
worker_3,18,1788087030.666503,50,4.547316,1.097120
worker_3,19,1788087030.671076,50,4.755068,1.097792
worker_3,20,1788087030.675851,50,4.783522,1.101760
worker_3,21,1788087030.680651,50,4.770949,1.098144
worker_3,22,1788087030.685438,50,4.774827,1.097504
worker_3,23,1788087030.690228,50,4.775328,1.096128
worker_3,24,1788087030.695019,50,4.789282,1.098368
worker_3,25,1788087030.699824,50,4.766096,1.095808
worker_3,26,1788087030.704605,50,4.767893,1.096736
worker_3,27,1788087030.709391,50,4.772669,1.099008
worker_3,28,1788087030.714178,50,4.773180,1.097024
worker_3,29,1788087030.718979,50,4.761818,1.098336
worker_3,30,1788087030.723756,50,4.775690,1.097792
worker_3,31,1788087030.728547,50,4.774244,1.099424
worker_3,32,1788087030.733339,50,4.784912,1.097312
worker_3,33,1788087030.738140,50,4.765355,1.096928
worker_3,34,1788087030.742922,50,4.769179,1.098048
worker_3,35,1788087030.747707,50,4.772438,1.099072
worker_3,36,1788087030.752495,50,4.793290,1.097792
worker_3,37,1788087030.757308,50,4.762772,1.098720
worker_3,38,1788087030.762089,50,4.782484,1.098528
worker_3,39,1788087030.766888,50,4.769458,1.097024
worker_3,40,1788087030.771675,50,4.765262,1.096416
worker_3,41,1788087030.776456,50,4.770892,1.096384
worker_3,42,1788087030.781242,50,4.767956,1.095776
worker_3,43,1788087030.786027,50,5.014941,1.100608
worker_3,44,1788087030.791091,50,4.677031,1.097824
worker_3,45,1788087030.795792,50,4.767715,1.098848
worker_3,46,1788087030.800578,50,4.620261,1.099040
worker_3,47,1788087030.805215,50,4.975681,1.098624
worker_3,48,1788087030.810240,50,4.545289,1.097632
worker_3,49,1788087030.814824,50,4.744040,1.096480
worker_3,50,1788087030.819587,50,4.766272,1.097536
worker_3,51,1788087030.824371,50,4.774901,1.100832
worker_3,52,1788087030.829163,50,4.764883,1.098144
worker_3,53,1788087030.833944,50,4.785549,1.097472
worker_3,54,1788087030.838746,50,4.773280,1.097696
worker_3,55,1788087030.843535,50,4.780717,1.105024
worker_3,56,1788087030.848332,50,4.778447,1.096320
worker_3,57,1788087030.853126,50,4.770606,1.096704
worker_3,58,1788087030.857913,50,4.770123,1.096608
worker_3,59,1788087030.862700,50,4.772096,1.099328
worker_3,60,1788087030.867487,50,4.785040,1.101696
worker_3,61,1788087030.872289,50,4.770142,1.097440
worker_3,62,1788087030.877074,50,4.766401,1.096192
worker_3,63,1788087030.881855,50,4.771531,1.096608
worker_3,64,1788087030.886644,50,4.779762,1.097824
worker_3,65,1788087030.891441,50,4.778883,1.098592
worker_3,66,1788087030.896235,50,4.763688,1.097984
worker_3,67,1788087030.901014,50,4.772188,1.098976
worker_3,68,1788087030.905814,50,4.762513,1.098432
worker_3,69,1788087030.910592,50,4.983597,1.097152
worker_3,70,1788087030.915624,50,4.746827,1.095904
worker_3,71,1788087030.920418,50,4.742355,1.100416
