label,iteration,start_unix_s,wall_ms,cuda_ms
mig_2g,0,1788080290.368138,0.586220,0.497344
mig_2g,1,1788080290.368750,0.492228,0.449568
mig_2g,2,1788080290.369255,0.492349,0.451200
mig_2g,3,1788080290.369757,0.447859,0.414880
mig_2g,4,1788080290.370214,0.472145,0.437600
mig_2g,5,1788080290.370693,0.457090,0.426208
mig_2g,6,1788080290.371158,0.459293,0.428160
mig_2g,7,1788080290.371624,0.470247,0.436128
mig_2g,8,1788080290.372101,0.439803,0.407360
mig_2g,9,1788080290.372548,0.470044,0.434144
mig_2g,10,1788080290.373025,0.469905,0.439264
mig_2g,11,1788080290.373502,0.444349,0.412992
mig_2g,12,1788080290.373954,0.467488,0.432160
mig_2g,13,1788080290.374428,0.449868,0.416576
mig_2g,14,1788080290.374884,0.510979,0.475392
mig_2g,15,1788080290.375402,0.526173,0.489824
mig_2g,16,1788080290.375935,0.446497,0.407488
mig_2g,17,1788080290.376389,0.467913,0.437152
mig_2g,18,1788080290.376864,0.452859,0.424320
mig_2g,19,1788080290.377323,0.454015,0.424640
mig_2g,20,1788080290.377784,0.466219,0.436000
mig_2g,21,1788080290.378257,0.444071,0.410432
mig_2g,22,1788080290.378707,0.461062,0.430656
mig_2g,23,1788080290.379175,0.465284,0.433568
mig_2g,24,1788080290.379647,0.432395,0.402400
mig_2g,25,1788080290.380086,0.464284,0.428896
mig_2g,26,1788080290.380558,0.452220,0.425184
mig_2g,27,1788080290.381016,0.467341,0.418272
mig_2g,28,1788080290.381491,0.476979,0.441216
mig_2g,29,1788080290.381976,0.436839,0.402368
mig_2g,30,1788080290.382420,0.468377,0.434208
mig_2g,31,1788080290.382896,0.516090,0.483904
mig_2g,32,1788080290.383420,0.497608,0.465824
mig_2g,33,1788080290.383924,0.468672,0.440736
mig_2g,34,1788080290.384401,0.436682,0.405888
mig_2g,35,1788080290.384845,0.468802,0.433696
mig_2g,36,1788080290.385321,0.474747,0.441472
mig_2g,37,1788080290.385803,0.436989,0.404224
mig_2g,38,1788080290.386247,0.472663,0.433344
mig_2g,39,1788080290.386727,0.452701,0.419936
mig_2g,40,1788080290.387187,0.464469,0.431328
mig_2g,41,1788080290.387659,0.476608,0.441568
