label,batch,start_unix_s,operations,wall_ms,cuda_batch_ms
worker_4,0,1788087067.570542,50,8.067179,7.873920
worker_4,1,1788087067.578655,50,7.744205,7.673152
worker_4,2,1788087067.586429,50,7.880474,7.821344
worker_4,3,1788087067.594330,50,7.903244,7.854144
worker_4,4,1788087067.602252,50,7.913557,7.863008
worker_4,5,1788087067.610185,50,7.379785,7.332384
worker_4,6,1788087067.617582,50,7.746936,7.685056
worker_4,7,1788087067.625350,50,7.752631,7.686528
worker_4,8,1788087067.633124,50,7.714576,7.660096
worker_4,9,1788087067.640857,50,7.680769,7.630816
worker_4,10,1788087067.648567,50,7.663760,7.613664
worker_4,11,1788087067.656249,50,7.705158,7.648480
worker_4,12,1788087067.663977,50,7.651694,7.594304
worker_4,13,1788087067.671649,50,7.683307,7.632512
worker_4,14,1788087067.679349,50,7.781631,7.734368
worker_4,15,1788087067.687148,50,7.732890,7.684608
worker_4,16,1788087067.694900,50,7.569157,7.486144
worker_4,17,1788087067.702508,50,7.799363,7.705280
worker_4,18,1788087067.710332,50,7.726909,7.543712
worker_4,19,1788087067.718079,50,7.817325,7.642432
worker_4,20,1788087067.725914,50,7.880252,7.705344
worker_4,21,1788087067.733810,50,7.844132,7.757664
worker_4,22,1788087067.741671,50,7.706566,7.536128
worker_4,23,1788087067.749394,50,7.371933,7.188640
worker_4,24,1788087067.756783,50,7.455536,7.272672
worker_4,25,1788087067.764261,50,7.715343,7.604960
worker_4,26,1788087067.771996,50,7.743148,7.554496
worker_4,27,1788087067.779760,50,7.833482,7.729376
worker_4,28,1788087067.787611,50,7.727954,7.599968
worker_4,29,1788087067.795367,50,7.930123,7.729248
worker_4,30,1788087067.803314,50,6.710299,6.517024
worker_4,31,1788087067.810042,50,7.004309,6.948736
worker_4,32,1788087067.817065,50,6.418888,6.371872
worker_4,33,1788087067.823501,50,7.406425,7.357760
worker_4,34,1788087067.830924,50,7.703509,7.625568
worker_4,35,1788087067.838659,50,7.613222,7.527200
worker_4,36,1788087067.846293,50,7.907511,7.855520
worker_4,37,1788087067.854220,50,7.507602,7.457952
worker_4,38,1788087067.861745,50,7.773604,7.713728
worker_4,39,1788087067.869543,50,7.687973,7.625792
worker_4,40,1788087067.877252,50,7.800622,7.752032
worker_4,41,1788087067.885071,50,7.624056,7.577280
worker_4,42,1788087067.892711,50,7.744492,7.696864
worker_4,43,1788087067.900472,50,7.591277,7.543808
worker_4,44,1788087067.908080,50,7.615528,7.568160
worker_4,45,1788087067.915712,50,7.511777,7.463840
worker_4,46,1788087067.923240,50,7.727657,7.682208
worker_4,47,1788087067.930984,50,7.663936,7.615008
worker_4,48,1788087067.938664,50,7.881678,7.816640
worker_4,49,1788087067.946580,50,7.754437,7.686048
worker_4,50,1788087067.954352,50,7.897735,7.849088
worker_4,51,1788087067.962266,50,7.743445,7.696672
worker_4,52,1788087067.970027,50,7.903113,7.853152
worker_4,53,1788087067.977947,50,7.690288,7.642368
worker_4,54,1788087067.985655,50,7.868623,7.810272
worker_4,55,1788087067.993540,50,7.543630,7.492896
worker_4,56,1788087068.001099,50,7.482036,7.424800
worker_4,57,1788087068.008597,50,7.487518,7.436928
worker_4,58,1788087068.016102,50,7.651556,7.604384
worker_4,59,1788087068.023769,50,7.407767,7.361632
worker_4,60,1788087068.031193,50,7.548389,7.499072
worker_4,61,1788087068.038758,50,7.596481,7.549152
worker_4,62,1788087068.046372,50,7.723501,7.676576
