label,batch,start_unix_s,operations,wall_ms,cuda_batch_ms
worker_1,0,1788086919.530784,50,7.488182,7.286720
worker_1,1,1788086919.538330,50,7.969806,7.884864
worker_1,2,1788086919.546333,50,7.786036,7.725856
worker_1,3,1788086919.554142,50,7.891204,7.838432
worker_1,4,1788086919.562051,50,7.763628,7.712320
worker_1,5,1788086919.569832,50,7.572478,7.506016
worker_1,6,1788086919.577434,50,7.514089,7.440832
worker_1,7,1788086919.584974,50,7.636090,7.555872
worker_1,8,1788086919.592632,50,7.838065,7.770752
worker_1,9,1788086919.600498,50,7.765102,7.669088
worker_1,10,1788086919.608302,50,7.923880,7.829824
worker_1,11,1788086919.616253,50,7.719008,7.602368
worker_1,12,1788086919.624007,50,8.004446,7.919776
worker_1,13,1788086919.632036,50,7.842750,7.777696
worker_1,14,1788086919.639904,50,7.924195,7.862048
worker_1,15,1788086919.647850,50,7.863167,7.806336
worker_1,16,1788086919.655737,50,7.731703,7.671936
worker_1,17,1788086919.663490,50,7.841880,7.788192
worker_1,18,1788086919.671354,50,7.737360,7.667680
worker_1,19,1788086919.679127,50,7.579748,7.498272
worker_1,20,1788086919.686732,50,7.693666,7.625920
worker_1,21,1788086919.694454,50,7.615424,7.550816
worker_1,22,1788086919.702092,50,7.698656,7.649952
worker_1,23,1788086919.709810,50,7.711184,7.661440
worker_1,24,1788086919.717541,50,7.662804,7.603840
worker_1,25,1788086919.725231,50,7.955409,7.870560
worker_1,26,1788086919.733218,50,7.652157,7.569248
worker_1,27,1788086919.740895,50,7.502709,7.444288
worker_1,28,1788086919.748417,50,7.527664,7.470752
worker_1,29,1788086919.755981,50,7.732175,7.669952
worker_1,30,1788086919.763737,50,7.869110,7.816064
worker_1,31,1788086919.771626,50,7.859687,7.805344
worker_1,32,1788086919.779508,50,7.700036,7.642016
worker_1,33,1788086919.787233,50,7.706517,7.645472
worker_1,34,1788086919.794964,50,7.577332,7.523872
worker_1,35,1788086919.802564,50,7.673277,7.619232
worker_1,36,1788086919.810259,50,7.286496,7.230688
worker_1,37,1788086919.817566,50,7.756204,7.700064
worker_1,38,1788086919.825346,50,7.416903,7.364704
worker_1,39,1788086919.832781,50,7.635729,7.583744
worker_1,40,1788086919.840437,50,7.706194,7.649952
worker_1,41,1788086919.848163,50,7.492210,7.443552
worker_1,42,1788086919.855675,50,7.539323,7.493728
worker_1,43,1788086919.863231,50,7.674332,7.624896
worker_1,44,1788086919.870923,50,7.665944,7.617024
worker_1,45,1788086919.878608,50,7.542460,7.492576
worker_1,46,1788086919.886169,50,7.293395,7.247424
worker_1,47,1788086919.893481,50,7.630850,7.587168
worker_1,48,1788086919.901129,50,7.863361,7.816032
worker_1,49,1788086919.909024,50,7.270949,7.219680
worker_1,50,1788086919.916313,50,7.662509,7.608224
worker_1,51,1788086919.923995,50,7.390395,7.333472
worker_1,52,1788086919.931409,50,7.717027,7.666688
worker_1,53,1788086919.939144,50,7.460099,7.411712
worker_1,54,1788086919.946625,50,7.675646,7.632640
worker_1,55,1788086919.954316,50,7.538711,7.493248
worker_1,56,1788086919.961872,50,7.680777,7.635872
worker_1,57,1788086919.969569,50,7.506109,7.455872
worker_1,58,1788086919.977094,50,7.893834,7.843744
worker_1,59,1788086919.985008,50,7.441331,7.396800
worker_1,60,1788086919.992466,50,7.850055,7.801952
worker_1,61,1788086920.000334,50,7.525099,7.481088
worker_1,62,1788086920.007877,50,7.847176,7.802560
worker_1,63,1788086920.015742,50,7.360126,7.308832
worker_1,64,1788086920.023124,50,7.714629,7.663232
worker_1,65,1788086920.030862,50,7.468312,7.422240
worker_1,66,1788086920.038350,50,7.893519,7.846784
worker_1,67,1788086920.046262,50,7.322570,7.270016
worker_1,68,1788086920.053621,50,7.902399,7.833728
worker_1,69,1788086920.061546,50,7.616294,7.541312
worker_1,70,1788086920.069193,50,7.997566,7.925024
worker_1,71,1788086920.077214,50,7.754750,7.698272
worker_1,72,1788086920.084989,50,7.688813,7.637088
worker_1,73,1788086920.092700,50,7.836676,7.784480
worker_1,74,1788086920.100556,50,7.647073,7.596864
worker_1,75,1788086920.108231,50,7.711368,7.663040
worker_1,76,1788086920.115961,50,7.683674,7.631552
worker_1,77,1788086920.123667,50,7.790037,7.742464
worker_1,78,1788086920.131477,50,7.608229,7.558784
worker_1,79,1788086920.139104,50,7.720184,7.673056
worker_1,80,1788086920.146842,50,7.666591,7.619776
worker_1,81,1788086920.154525,50,7.755721,7.710400
worker_1,82,1788086920.162298,50,7.496747,7.449056
worker_1,83,1788086920.169812,50,7.784434,7.727840
worker_1,84,1788086920.177616,50,7.564469,7.513248
worker_1,85,1788086920.185198,50,7.713740,7.670112
worker_1,86,1788086920.192930,50,7.681814,7.617440
worker_1,87,1788086920.200629,50,7.847028,7.781856
worker_1,88,1788086920.208509,50,7.603174,7.552096
worker_1,89,1788086920.216128,50,7.857685,7.807520
worker_1,90,1788086920.224007,50,7.664220,7.607040
worker_1,91,1788086920.231690,50,7.643581,7.592128
worker_1,92,1788086920.239356,50,6.878205,6.830432
worker_1,93,1788086920.246253,50,6.986798,6.942144
worker_1,94,1788086920.253255,50,6.860538,6.814112
worker_1,95,1788086920.260132,50,7.802721,7.755456
worker_1,96,1788086920.267952,50,7.542710,7.491520
worker_1,97,1788086920.275514,50,7.883083,7.834208
worker_1,98,1788086920.283415,50,7.891510,7.843648
worker_1,99,1788086920.291323,50,7.884788,7.834272
worker_1,100,1788086920.299227,50,7.798435,7.745088
worker_1,101,1788086920.307045,50,7.670296,7.624768
worker_1,102,1788086920.314732,50,7.864760,7.812224
worker_1,103,1788086920.322616,50,7.903176,7.856480
worker_1,104,1788086920.330538,50,7.769610,7.721920
worker_1,105,1788086920.338325,50,7.608823,7.561024
worker_1,106,1788086920.345953,50,7.667267,7.621920
worker_1,107,1788086920.353648,50,6.984151,6.935168
worker_1,108,1788086920.360651,50,7.083410,7.037024
worker_1,109,1788086920.367753,50,7.765610,7.717696
worker_1,110,1788086920.375538,50,7.700600,7.652416
worker_1,111,1788086920.383258,50,7.917750,7.864736
worker_1,112,1788086920.391194,50,7.806853,7.764064
worker_1,113,1788086920.399018,50,7.862268,7.816192
worker_1,114,1788086920.406898,50,7.894370,7.849344
worker_1,115,1788086920.414809,50,7.911594,7.862176
worker_1,116,1788086920.422738,50,7.889231,7.840992
worker_1,117,1788086920.430644,50,7.798704,7.753984
