08-30-2026 18:37:29 RAM 3444/125749MB (lfb 51x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,8%@972,0%@972,7%@972,0%@972,7%@972,100%@2601,0%@2601,0%@972,0%@972] EMC_FREQ 7%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@63C/63.531C tj@63C/63.75C soc012@60.812C/61.843C gpu@62.281C/63.75C soc345@60.281C/61.687C VDD_GPU 6323mW/8511mW/10670mW VDD_CPU_SOC_MSS 9480mW/8715mW/9480mW VIN_SYS_5V0 7168mW/7360mW/7672mW VIN 29080mW/24743mW/32266mW
08-30-2026 18:37:29 RAM 3457/125749MB (lfb 51x4MB) CPU [7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972] EMC_FREQ 7%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.781C/63.531C tj@62.781C/63.75C soc012@60.687C/61.843C gpu@62.343C/63.75C soc345@60.156C/61.687C VDD_GPU 5928mW/8407mW/10670mW VDD_CPU_SOC_MSS 9480mW/8746mW/9480mW VIN_SYS_5V0 7067mW/7349mW/7672mW VIN 29094mW/24910mW/32266mW
08-30-2026 18:37:29 RAM 3464/125749MB (lfb 51x4MB) CPU [0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972] EMC_FREQ 6%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.781C/63.531C tj@62.781C/63.75C soc012@60.625C/61.843C gpu@62.187C/63.75C soc345@60.125C/61.687C VDD_GPU 5928mW/8316mW/10670mW VDD_CPU_SOC_MSS 9085mW/8759mW/9480mW VIN_SYS_5V0 7168mW/7342mW/7672mW VIN 29406mW/25071mW/32266mW
08-30-2026 18:37:29 RAM 3472/125749MB (lfb 51x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@1350,0%@1350,100%@2601,0%@2601,0%@972,0%@972] EMC_FREQ 5%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@61.593C/63.531C tj@62.375C/63.75C soc012@60.562C/61.843C gpu@62.375C/63.75C soc345@60.093C/61.687C VDD_GPU 5928mW/8233mW/10670mW VDD_CPU_SOC_MSS 9085mW/8770mW/9480mW VIN_SYS_5V0 7168mW/7336mW/7672mW VIN 29700mW/25225mW/32266mW
08-30-2026 18:37:29 RAM 3492/125749MB (lfb 51x4MB) CPU [0%@972,0%@972,7%@1674,0%@1674,7%@1404,15%@1404,7%@1458,0%@1458,0%@972,0%@972,92%@2601,0%@2601,0%@2106,14%@2106] EMC_FREQ 5%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@61.781C/63.531C tj@62.343C/63.75C soc012@60.437C/61.843C gpu@62.343C/63.75C soc345@60.062C/61.687C VDD_GPU 6323mW/8172mW/10670mW VDD_CPU_SOC_MSS 9085mW/8780mW/9480mW VIN_SYS_5V0 7168mW/7330mW/7672mW VIN 31112mW/25409mW/32266mW
08-30-2026 18:37:29 RAM 3655/125749MB (lfb 37x4MB) CPU [8%@972,0%@972,23%@972,0%@972,0%@972,8%@972,7%@972,0%@972,0%@972,0%@972,46%@972,7%@972,7%@2601,69%@2601] EMC_FREQ 7%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@61.968C/63.531C tj@65.781C/65.781C soc012@60.718C/61.843C gpu@65.781C/65.781C soc345@60.468C/61.687C VDD_GPU 11460mW/8271mW/11460mW VDD_CPU_SOC_MSS 10666mW/8837mW/10666mW VIN_SYS_5V0 8783mW/7374mW/8783mW VIN 76506mW/26912mW/76506mW
08-30-2026 18:37:29 RAM 3627/125749MB (lfb 37x4MB) CPU [7%@1620,0%@1620,7%@1728,0%@1728,0%@1404,0%@1404,0%@1620,7%@1620,0%@1566,7%@1566,15%@1404,0%@1404,38%@1512,46%@1512] EMC_FREQ 10%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.125C/63.531C tj@67.187C/67.187C soc012@60.593C/61.843C gpu@67.187C/67.187C soc345@60.718C/61.687C VDD_GPU 17381mW/8532mW/17381mW VDD_CPU_SOC_MSS 11851mW/8923mW/11851mW VIN_SYS_5V0 10499mW/7464mW/10499mW VIN 74880mW/28244mW/76506mW
08-30-2026 18:37:30 RAM 3646/125749MB (lfb 37x4MB) CPU [7%@1728,0%@1728,0%@1836,7%@1836,7%@1620,15%@1620,38%@1836,7%@1836,14%@1782,7%@1782,14%@1836,0%@1836,7%@1890,0%@1890] EMC_FREQ 15%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.187C/63.531C tj@67.968C/67.968C soc012@61.125C/61.843C gpu@67.968C/67.968C soc345@60.937C/61.687C VDD_GPU 22122mW/8899mW/22122mW VDD_CPU_SOC_MSS 12636mW/9024mW/12636mW VIN_SYS_5V0 11913mW/7584mW/11913mW VIN 78526mW/29567mW/78526mW
08-30-2026 18:37:30 RAM 3624/125749MB (lfb 38x4MB) CPU [16%@972,7%@972,8%@972,15%@972,30%@972,0%@972,16%@972,0%@972,0%@1350,41%@1350,0%@972,15%@972,8%@972,7%@972] EMC_FREQ 18%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1557 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.093C/63.531C tj@67.375C/67.968C soc012@61.125C/61.843C gpu@67.375C/67.968C soc345@60.968C/61.687C VDD_GPU 25282mW/9319mW/25282mW VDD_CPU_SOC_MSS 13425mW/9137mW/13425mW VIN_SYS_5V0 12922mW/7721mW/12922mW VIN 70454mW/30590mW/78526mW
08-30-2026 18:37:30 RAM 3627/125749MB (lfb 38x4MB) CPU [15%@1458,8%@1458,26%@1782,30%@1782,8%@972,0%@972,9%@1296,15%@1296,25%@1998,14%@1998,16%@1674,0%@1674,7%@972,7%@972] EMC_FREQ 21%@4266 GR3D_FREQ @[1386,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1557 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@62.687C/63.531C tj@67.656C/67.968C soc012@60.531C/61.843C gpu@67.656C/67.968C soc345@61.125C/61.687C VDD_GPU 27652mW/9766mW/27652mW VDD_CPU_SOC_MSS 13820mW/9251mW/13820mW VIN_SYS_5V0 13629mW/7865mW/13629mW VIN 78172mW/31723mW/78526mW
