08-30-2026 19:52:17 RAM 5069/125749MB (lfb 112x4MB) CPU [0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.531C/47.843C tj@47.812C/48.25C soc012@45.656C/46.718C gpu@47.812C/48.25C soc345@44.968C/45.125C VDD_GPU 5139mW/5175mW/5535mW VDD_CPU_SOC_MSS 6323mW/6947mW/7904mW VIN_SYS_5V0 5947mW/6244mW/6552mW VIN 23554mW/22227mW/32018mW
08-30-2026 19:52:17 RAM 5069/125749MB (lfb 112x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.406C/47.843C tj@47.906C/48.25C soc012@45.593C/46.718C gpu@47.906C/48.25C soc345@44.843C/45.125C VDD_GPU 5139mW/5173mW/5535mW VDD_CPU_SOC_MSS 6323mW/6922mW/7904mW VIN_SYS_5V0 5947mW/6232mW/6552mW VIN 23500mW/22276mW/32018mW
08-30-2026 19:52:17 RAM 5069/125749MB (lfb 112x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.531C/47.843C tj@47.843C/48.25C soc012@45.468C/46.718C gpu@47.812C/48.25C soc345@44.937C/45.125C VDD_GPU 5139mW/5172mW/5535mW VDD_CPU_SOC_MSS 5928mW/6885mW/7904mW VIN_SYS_5V0 5846mW/6218mW/6552mW VIN 22836mW/22296mW/32018mW
08-30-2026 19:52:17 RAM 5069/125749MB (lfb 112x4MB) CPU [0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.375C/47.843C tj@47.968C/48.25C soc012@45.531C/46.718C gpu@47.968C/48.25C soc345@44.843C/45.125C VDD_GPU 5139mW/5171mW/5535mW VDD_CPU_SOC_MSS 5928mW/6852mW/7904mW VIN_SYS_5V0 5846mW/6205mW/6552mW VIN 23404mW/22333mW/32018mW
08-30-2026 19:52:17 RAM 5068/125749MB (lfb 112x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@1566,0%@1566,0%@1674,0%@1674,7%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.437C/47.843C tj@47.875C/48.25C soc012@45.687C/46.718C gpu@47.875C/48.25C soc345@44.906C/45.125C VDD_GPU 4744mW/5157mW/5535mW VDD_CPU_SOC_MSS 5928mW/6822mW/7904mW VIN_SYS_5V0 5846mW/6194mW/6552mW VIN 24964mW/22415mW/32018mW
08-30-2026 19:52:17 RAM 5068/125749MB (lfb 112x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.375C/47.843C tj@47.781C/48.25C soc012@45.562C/46.718C gpu@47.781C/48.25C soc345@44.875C/45.125C VDD_GPU 4744mW/5145mW/5535mW VDD_CPU_SOC_MSS 5928mW/6795mW/7904mW VIN_SYS_5V0 5846mW/6183mW/6552mW VIN 24708mW/22483mW/32018mW
08-30-2026 19:52:18 RAM 5068/125749MB (lfb 112x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.406C/47.843C tj@47.781C/48.25C soc012@45.468C/46.718C gpu@47.781C/48.25C soc345@44.843C/45.125C VDD_GPU 4744mW/5133mW/5535mW VDD_CPU_SOC_MSS 5928mW/6770mW/7904mW VIN_SYS_5V0 5745mW/6170mW/6552mW VIN 23760mW/22518mW/32018mW
08-30-2026 19:52:18 RAM 5068/125749MB (lfb 112x4MB) CPU [0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.343C/47.843C tj@47.75C/48.25C soc012@45.468C/46.718C gpu@47.75C/48.25C soc345@44.781C/45.125C VDD_GPU 4744mW/5123mW/5535mW VDD_CPU_SOC_MSS 5928mW/6748mW/7904mW VIN_SYS_5V0 5745mW/6159mW/6552mW VIN 23034mW/22532mW/32018mW
08-30-2026 19:52:18 RAM 5068/125749MB (lfb 112x4MB) CPU [7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,6%@972,6%@972,0%@972,0%@972,6%@972,0%@972,6%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.406C/47.843C tj@47.718C/48.25C soc012@45.437C/46.718C gpu@47.718C/48.25C soc345@44.906C/45.125C VDD_GPU 4744mW/5113mW/5535mW VDD_CPU_SOC_MSS 5928mW/6727mW/7904mW VIN_SYS_5V0 5846mW/6151mW/6552mW VIN 22724mW/22537mW/32018mW
08-30-2026 19:52:18 RAM 5068/125749MB (lfb 112x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@46.281C/47.843C tj@47.875C/48.25C soc012@45.468C/46.718C gpu@47.875C/48.25C soc345@44.875C/45.125C VDD_GPU 4744mW/5104mW/5535mW VDD_CPU_SOC_MSS 5928mW/6707mW/7904mW VIN_SYS_5V0 5745mW/6141mW/6552mW VIN 23226mW/22553mW/32018mW
