label,batch,start_unix_s,operations,wall_ms,cuda_batch_ms
worker_5,0,1788087141.874541,50,15.348225,14.971648
worker_5,1,1788087141.889949,50,15.892341,15.562816
worker_5,2,1788087141.905892,50,15.830766,15.500608
worker_5,3,1788087141.921772,50,15.598579,15.475072
worker_5,4,1788087141.937395,50,15.472578,15.414048
worker_5,5,1788087141.952888,50,15.440151,15.378496
worker_5,6,1788087141.968345,50,15.645774,15.386144
worker_5,7,1788087141.984040,50,15.950962,15.617504
worker_5,8,1788087142.000039,50,15.700690,15.435168
worker_5,9,1788087142.015788,50,15.539032,15.276736
worker_5,10,1788087142.031367,50,15.411448,15.344160
worker_5,11,1788087142.046799,50,15.486699,15.350880
worker_5,12,1788087142.062305,50,15.559449,15.129920
worker_5,13,1788087142.077912,50,15.900099,15.406688
worker_5,14,1788087142.093860,50,15.779089,15.424096
worker_5,15,1788087142.109687,50,15.752710,15.502208
worker_5,16,1788087142.125489,50,15.673653,15.551392
worker_5,17,1788087142.141189,50,15.436800,15.376448
worker_5,18,1788087142.156646,50,15.304086,15.249632
worker_5,19,1788087142.171966,50,15.615413,15.358976
worker_5,20,1788087142.187629,50,15.875739,15.545824
worker_5,21,1788087142.203554,50,15.970248,15.640320
worker_5,22,1788087142.219573,50,16.001249,15.671232
worker_5,23,1788087142.235621,50,15.752016,15.626560
worker_5,24,1788087142.251398,50,15.346643,15.288032
worker_5,25,1788087142.266763,50,15.661431,15.401536
worker_5,26,1788087142.282473,50,16.028471,15.693920
worker_5,27,1788087142.298550,50,15.788525,15.456064
worker_5,28,1788087142.314385,50,15.843118,15.514144
worker_5,29,1788087142.330289,50,15.628098,15.505312
worker_5,30,1788087142.345941,50,15.373254,15.319584
worker_5,31,1788087142.361333,50,15.331521,15.281920
worker_5,32,1788087142.376683,50,15.672255,15.410144
worker_5,33,1788087142.392404,50,15.760562,15.431136
worker_5,34,1788087142.408232,50,15.808127,15.474720
worker_5,35,1788087142.424088,50,15.843405,15.513696
worker_5,36,1788087142.439979,50,15.545226,15.423872
worker_5,37,1788087142.455549,50,15.434401,15.379008
worker_5,38,1788087142.471003,50,15.706422,15.438240
worker_5,39,1788087142.486758,50,15.878868,15.546528
worker_5,40,1788087142.502685,50,15.760728,15.434272
worker_5,41,1788087142.518494,50,15.519012,15.389760
worker_5,42,1788087142.534041,50,15.418382,15.359008
worker_5,43,1788087142.549478,50,15.372021,15.321248
worker_5,44,1788087142.564868,50,15.582383,15.315456
worker_5,45,1788087142.580499,50,15.546885,15.418560
worker_5,46,1788087142.596072,50,15.406317,15.346400
worker_5,47,1788087142.611497,50,15.563189,15.413792
worker_5,48,1788087142.627109,50,15.713765,15.388832
worker_5,49,1788087142.642888,50,15.575125,15.451488
worker_5,50,1788087142.658491,50,15.512449,15.451808
worker_5,51,1788087142.674021,50,15.780840,15.515168
worker_5,52,1788087142.689851,50,15.641366,15.511200
worker_5,53,1788087142.705521,50,15.649459,15.378496
worker_5,54,1788087142.721217,50,15.692108,15.359328
worker_5,55,1788087142.736956,50,15.566440,15.440672
worker_5,56,1788087142.752550,50,15.445930,15.385280
worker_5,57,1788087142.768015,50,15.342364,15.287872
worker_5,58,1788087142.783381,50,15.446476,15.393344
worker_5,59,1788087142.798848,50,15.334569,15.285344
worker_5,60,1788087142.814200,50,15.395715,15.341440
worker_5,61,1788087142.829613,50,15.288345,15.236544
worker_5,62,1788087142.844917,50,15.459829,15.397248
worker_5,63,1788087142.860402,50,15.458059,15.397248
worker_5,64,1788087142.875882,50,15.406467,15.352544
worker_5,65,1788087142.891312,50,15.409929,15.351104
worker_5,66,1788087142.906743,50,15.509940,15.232992
worker_5,67,1788087142.922302,50,15.875304,15.525056
worker_5,68,1788087142.938238,50,15.706321,15.574688
worker_5,69,1788087142.953970,50,15.559571,15.499456
worker_5,70,1788087142.969549,50,15.695339,15.422688
worker_5,71,1788087142.985292,50,15.584876,15.449888
worker_5,72,1788087143.000902,50,15.322160,15.251744
worker_5,73,1788087143.016246,50,15.585163,15.309088
worker_5,74,1788087143.031880,50,15.500698,15.367264
worker_5,75,1788087143.047407,50,15.478496,15.422880
worker_5,76,1788087143.062907,50,15.433208,15.379264
worker_5,77,1788087143.078360,50,15.594468,15.333472
worker_5,78,1788087143.094004,50,15.562579,15.432128
worker_5,79,1788087143.109592,50,15.563875,15.269120
worker_5,80,1788087143.125203,50,15.652931,15.472096
worker_5,81,1788087143.140905,50,15.541726,15.418240
worker_5,82,1788087143.156471,50,15.404280,15.345568
worker_5,83,1788087143.171895,50,15.626061,15.358176
worker_5,84,1788087143.187568,50,15.551717,15.420352
worker_5,85,1788087143.203146,50,15.315919,15.255008
worker_5,86,1788087143.218482,50,15.550013,15.287360
worker_5,87,1788087143.234081,50,15.748191,15.417504
worker_5,88,1788087143.249887,50,15.452661,15.329184
worker_5,89,1788087143.265366,50,15.347734,15.279808
worker_5,90,1788087143.280737,50,15.356410,15.298688
worker_5,91,1788087143.296114,50,15.242122,15.193120
worker_5,92,1788087143.311378,50,15.548273,15.273408
worker_5,93,1788087143.326977,50,15.608708,15.271648
worker_5,94,1788087143.342636,50,15.421956,15.295552
worker_5,95,1788087143.358084,50,15.268566,15.217024
worker_5,96,1788087143.373372,50,15.380263,15.323168
