label,batch,start_unix_s,operations,wall_ms,cuda_batch_ms
worker_1,0,1788086993.603720,50,2.138175,1.098176
worker_1,1,1788086993.605901,50,3.503613,1.097248
worker_1,2,1788086993.609447,50,4.746114,1.097632
worker_1,3,1788086993.614230,50,4.747263,1.098880
worker_1,4,1788086993.619013,50,4.738337,1.099104
worker_1,5,1788086993.623776,50,4.760901,1.099680
worker_1,6,1788086993.628555,50,4.769652,1.100320
worker_1,7,1788086993.633341,50,4.765234,1.098848
worker_1,8,1788086993.638123,50,4.763651,1.098368
worker_1,9,1788086993.642904,50,4.778123,1.099328
worker_1,10,1788086993.647707,50,4.764612,1.098592
worker_1,11,1788086993.652488,50,4.776717,1.097856
worker_1,12,1788086993.657281,50,4.772336,1.099104
worker_1,13,1788086993.662069,50,4.772438,1.098624
worker_1,14,1788086993.666856,50,4.779680,1.099392
worker_1,15,1788086993.671651,50,4.786364,1.102016
worker_1,16,1788086993.676454,50,4.779558,1.098592
worker_1,17,1788086993.681250,50,4.770836,1.098304
worker_1,18,1788086993.686037,50,4.772994,1.098240
worker_1,19,1788086993.690825,50,4.771623,1.097792
worker_1,20,1788086993.695612,50,4.776345,1.101280
worker_1,21,1788086993.700406,50,4.785884,1.098272
worker_1,22,1788086993.705206,50,4.779901,1.097856
worker_1,23,1788086993.710003,50,4.771281,1.099136
worker_1,24,1788086993.714790,50,4.770642,1.097600
worker_1,25,1788086993.719576,50,4.770031,1.098240
worker_1,26,1788086993.724362,50,4.780197,1.099200
worker_1,27,1788086993.729158,50,4.769077,1.097312
worker_1,28,1788086993.733942,50,4.983561,1.098176
worker_1,29,1788086993.738990,50,4.717161,1.098976
worker_1,30,1788086993.743752,50,4.779356,1.099616
worker_1,31,1788086993.748575,50,4.498056,1.098336
worker_1,32,1788086993.753099,50,4.759392,1.098400
worker_1,33,1788086993.757878,50,4.762243,1.098528
worker_1,34,1788086993.762655,50,4.777642,1.099232
worker_1,35,1788086993.767449,50,4.774679,1.098144
worker_1,36,1788086993.772240,50,4.762642,1.098368
worker_1,37,1788086993.777018,50,4.778059,1.097824
worker_1,38,1788086993.781811,50,4.771327,1.098400
worker_1,39,1788086993.786598,50,4.770040,1.098208
worker_1,40,1788086993.791386,50,4.803244,1.098144
worker_1,41,1788086993.796240,50,4.712428,1.097664
worker_1,42,1788086993.800974,50,4.760123,1.098240
worker_1,43,1788086993.805752,50,4.764318,1.096416
worker_1,44,1788086993.810534,50,4.769021,1.098944
worker_1,45,1788086993.815318,50,4.783706,1.098592
worker_1,46,1788086993.820117,50,4.768493,1.100608
worker_1,47,1788086993.824901,50,4.769957,1.099296
worker_1,48,1788086993.829686,50,4.775633,1.098304
worker_1,49,1788086993.834490,50,4.968838,1.095872
worker_1,50,1788086993.839506,50,4.790058,1.097984
worker_1,51,1788086993.844341,50,4.519825,1.097824
worker_1,52,1788086993.848886,50,4.753039,1.099104
worker_1,53,1788086993.853658,50,4.923597,1.099168
worker_1,54,1788086993.858597,50,4.770485,1.099648
worker_1,55,1788086993.863384,50,4.772068,1.097568
worker_1,56,1788086993.868171,50,4.769281,1.099424
worker_1,57,1788086993.872956,50,4.795041,1.097792
worker_1,58,1788086993.877766,50,4.760178,1.097792
worker_1,59,1788086993.882542,50,4.774151,1.098784
worker_1,60,1788086993.887330,50,4.616492,1.098016
worker_1,61,1788086993.891961,50,4.766604,1.099200
worker_1,62,1788086993.896744,50,4.789123,1.109952
worker_1,63,1788086993.901550,50,4.777762,1.100512
worker_1,64,1788086993.906344,50,4.770568,1.097792
worker_1,65,1788086993.911131,50,4.772123,1.098304
worker_1,66,1788086993.915918,50,4.772994,1.098656
worker_1,67,1788086993.920706,50,4.772956,1.101856
worker_1,68,1788086993.925505,50,4.758743,1.097792
worker_1,69,1788086993.930278,50,4.775318,1.099584
worker_1,70,1788086993.935069,50,4.769235,1.098592
worker_1,71,1788086993.939854,50,4.769419,1.098272
worker_1,72,1788086993.944639,50,4.773577,1.099008
worker_1,73,1788086993.949427,50,4.769799,1.098528
worker_1,74,1788086993.954211,50,4.778706,1.099264
worker_1,75,1788086993.959005,50,4.770253,1.098976
