label,batch,start_unix_s,operations,wall_ms,cuda_batch_ms
worker_8,0,1788087104.709748,50,9.999743,9.734752
worker_8,1,1788087104.719795,50,8.591305,1.097824
worker_8,2,1788087104.728415,50,9.545193,1.096224
worker_8,3,1788087104.737981,50,9.551758,1.097824
worker_8,4,1788087104.747552,50,9.553711,1.096512
worker_8,5,1788087104.757125,50,9.551637,1.098496
worker_8,6,1788087104.766694,50,9.554971,1.096768
worker_8,7,1788087104.776266,50,9.558128,1.097568
worker_8,8,1788087104.785840,50,9.796740,1.097408
worker_8,9,1788087104.795690,50,9.515673,1.100640
worker_8,10,1788087104.805270,50,9.517813,1.097792
worker_8,11,1788087104.814839,50,9.542887,1.096704
worker_8,12,1788087104.824433,50,9.315386,1.096640
worker_8,13,1788087104.833777,50,9.554425,1.096416
worker_8,14,1788087104.843353,50,9.551508,1.097280
worker_8,15,1788087104.852921,50,9.557008,1.096992
worker_8,16,1788087104.862495,50,9.560619,1.097760
worker_8,17,1788087104.872073,50,9.573378,1.097824
worker_8,18,1788087104.881663,50,9.780751,1.097696
worker_8,19,1788087104.891492,50,9.524860,1.096832
worker_8,20,1788087104.901066,50,9.572981,1.098048
worker_8,21,1788087104.910689,50,9.520055,1.097440
worker_8,22,1788087104.920274,50,9.295663,1.096672
worker_8,23,1788087104.929596,50,9.539194,1.097824
worker_8,24,1788087104.939155,50,9.563971,1.099744
worker_8,25,1788087104.948738,50,9.554850,1.097152
worker_8,26,1788087104.958310,50,9.562324,1.097120
worker_8,27,1788087104.967889,50,9.561841,1.098720
worker_8,28,1788087104.977469,50,9.572045,1.097792
worker_8,29,1788087104.987075,50,9.764983,1.105344
worker_8,30,1788087104.996887,50,9.571193,1.096160
worker_8,31,1788087105.006508,50,9.503294,1.097152
worker_8,32,1788087105.016060,50,9.529711,1.096800
worker_8,33,1788087105.025638,50,9.327275,1.099712
worker_8,34,1788087105.034991,50,9.548610,1.097312
worker_8,35,1788087105.044558,50,9.555684,1.097600
worker_8,36,1788087105.054131,50,9.561887,1.096320
worker_8,37,1788087105.063710,50,9.562313,1.096832
worker_8,38,1788087105.073288,50,9.584231,1.102016
worker_8,39,1788087105.082888,50,9.776760,1.098848
worker_8,40,1788087105.092715,50,9.556471,1.097632
worker_8,41,1788087105.102321,50,9.532534,1.098848
worker_8,42,1788087105.111903,50,9.547277,1.097440
worker_8,43,1788087105.121498,50,9.307294,1.098400
worker_8,44,1788087105.130833,50,9.561018,1.097152
worker_8,45,1788087105.140413,50,9.556721,1.098688
worker_8,46,1788087105.149986,50,9.561230,1.097024
worker_8,47,1788087105.159564,50,9.577851,1.097920
worker_8,48,1788087105.169158,50,9.573582,1.096864
worker_8,49,1788087105.178761,50,9.549072,1.098720
worker_8,50,1788087105.188325,50,9.774269,1.097184
worker_8,51,1788087105.198150,50,9.529369,1.097280
worker_8,52,1788087105.207730,50,9.535415,1.098496
worker_8,53,1788087105.217315,50,9.533990,1.096896
worker_8,54,1788087105.226898,50,9.324145,1.097792
worker_8,55,1788087105.236247,50,9.535082,1.096736
worker_8,56,1788087105.245800,50,9.564508,1.097440
worker_8,57,1788087105.255381,50,9.574073,1.100384
worker_8,58,1788087105.264973,50,9.567359,1.098464
worker_8,59,1788087105.274557,50,9.585007,1.098496
worker_8,60,1788087105.284158,50,9.800677,1.097952
worker_8,61,1788087105.294008,50,9.522785,1.096864
worker_8,62,1788087105.303582,50,9.528564,1.098560
worker_8,63,1788087105.313160,50,9.526432,1.096800
worker_8,64,1788087105.322737,50,9.342136,1.097824
worker_8,65,1788087105.332107,50,9.541730,1.097792
worker_8,66,1788087105.341668,50,9.559573,1.097824
worker_8,67,1788087105.351246,50,9.557785,1.100448
worker_8,68,1788087105.360834,50,9.553499,1.097056
worker_8,69,1788087105.370404,50,9.563711,1.098912
worker_8,70,1788087105.379984,50,9.555415,1.098496
worker_8,71,1788087105.389555,50,9.771139,1.098304
worker_8,72,1788087105.399376,50,9.544915,1.098592
worker_8,73,1788087105.408969,50,9.534571,1.098112
worker_8,74,1788087105.418553,50,9.536035,1.098720
worker_8,75,1788087105.428137,50,9.302987,1.096320
worker_8,76,1788087105.437469,50,9.546072,1.099072
worker_8,77,1788087105.447035,50,9.570396,1.107328
worker_8,78,1788087105.456622,50,9.560915,1.098464
worker_8,79,1788087105.466199,50,9.572850,1.098336
worker_8,80,1788087105.475788,50,9.567286,1.105664
worker_8,81,1788087105.485371,50,9.808390,1.097408
worker_8,82,1788087105.495229,50,9.539850,1.097472
worker_8,83,1788087105.504819,50,9.517174,1.097088
worker_8,84,1788087105.514386,50,9.540573,1.097568
worker_8,85,1788087105.523977,50,9.324941,1.096416
worker_8,86,1788087105.533328,50,9.556999,1.095968
worker_8,87,1788087105.542904,50,9.555296,1.096896
worker_8,88,1788087105.552490,50,9.556109,1.096768
worker_8,89,1788087105.562065,50,9.571249,1.097408
worker_8,90,1788087105.571652,50,9.560388,1.097824
worker_8,91,1788087105.581229,50,9.555934,1.098528
worker_8,92,1788087105.590803,50,9.787815,1.097920
worker_8,93,1788087105.600645,50,9.539128,1.098144
worker_8,94,1788087105.610234,50,9.528332,1.096288
worker_8,95,1788087105.619811,50,9.536785,1.099072
worker_8,96,1788087105.629396,50,9.318960,1.097728
worker_8,97,1788087105.638741,50,9.546359,1.098208
worker_8,98,1788087105.648307,50,9.541786,1.096800
worker_8,99,1788087105.657866,50,9.553063,1.096960
worker_8,100,1788087105.667435,50,9.561915,1.098080
worker_8,101,1788087105.677013,50,9.568360,1.097056
worker_8,102,1788087105.686599,50,9.775213,1.097760
worker_8,103,1788087105.696422,50,9.361971,1.096736
worker_8,104,1788087105.705831,50,9.473683,1.095552
worker_8,105,1788087105.715323,50,9.559851,1.096544
worker_8,106,1788087105.724902,50,9.568590,1.096992
worker_8,107,1788087105.734501,50,9.559813,1.096128
worker_8,108,1788087105.744080,50,9.563888,1.097568
worker_8,109,1788087105.753663,50,9.563073,1.098048
worker_8,110,1788087105.763243,50,9.573361,1.104448
worker_8,111,1788087105.772832,50,9.553814,1.097088
worker_8,112,1788087105.782403,50,9.555981,1.096608
worker_8,113,1788087105.791975,50,9.793408,1.096832
worker_8,114,1788087105.801818,50,9.527480,1.098400
worker_8,115,1788087105.811396,50,9.534526,1.098016
worker_8,116,1788087105.820979,50,9.555174,1.097184
worker_8,117,1788087105.830582,50,9.525462,1.097088
worker_8,118,1788087105.840156,50,9.539841,1.099232
worker_8,119,1788087105.849744,50,9.526989,1.096512
worker_8,120,1788087105.859318,50,9.562212,1.097280
worker_8,121,1788087105.868929,50,9.484896,1.097056
worker_8,122,1788087105.878461,50,9.534305,1.095744
worker_8,123,1788087105.888043,50,9.533581,1.099392
worker_8,124,1788087105.897624,50,9.332700,1.098912
worker_8,125,1788087105.906982,50,9.760213,1.096576
worker_8,126,1788087105.916791,50,9.318719,1.097504
worker_8,127,1788087105.926149,50,9.750916,1.098080
worker_8,128,1788087105.935950,50,9.334414,1.099648
worker_8,129,1788087105.945312,50,9.757723,1.096320
worker_8,130,1788087105.955117,50,9.334107,1.102304
worker_8,131,1788087105.964478,50,9.780426,1.097024
worker_8,132,1788087105.974307,50,9.315977,1.098144
worker_8,133,1788087105.983649,50,9.780232,1.096480
worker_8,134,1788087105.993477,50,9.324784,1.097280
worker_8,135,1788087106.002828,50,9.765704,1.098688
worker_8,136,1788087106.012644,50,9.319246,1.096672
worker_8,137,1788087106.021988,50,9.766769,1.096000
worker_8,138,1788087106.031802,50,9.336024,1.096416
worker_8,139,1788087106.041162,50,9.765306,1.096192
worker_8,140,1788087106.050977,50,9.323617,1.096384
worker_8,141,1788087106.060325,50,9.753916,1.096064
worker_8,142,1788087106.070127,50,9.333034,1.096544
worker_8,143,1788087106.079486,50,9.767871,1.100864
worker_8,144,1788087106.089301,50,9.332265,1.097120
worker_8,145,1788087106.098657,50,9.772565,1.097152
worker_8,146,1788087106.108490,50,9.297617,1.097312
worker_8,147,1788087106.117813,50,9.767982,1.096800
worker_8,148,1788087106.127634,50,9.326589,1.100896
worker_8,149,1788087106.136986,50,9.761880,1.098336
worker_8,150,1788087106.146798,50,9.331561,1.096448
worker_8,151,1788087106.156154,50,9.767750,1.097344
worker_8,152,1788087106.165971,50,9.311108,1.098464
worker_8,153,1788087106.175307,50,9.759112,1.098880
worker_8,154,1788087106.185114,50,9.347274,1.096064
worker_8,155,1788087106.194487,50,9.769871,1.098496
worker_8,156,1788087106.204401,50,9.249108,1.097760
worker_8,157,1788087106.213679,50,9.759778,1.096352
worker_8,158,1788087106.223490,50,9.314793,1.096544
worker_8,159,1788087106.232831,50,9.766130,1.096320
worker_8,160,1788087106.242646,50,9.309376,1.098016
worker_8,161,1788087106.251980,50,9.777972,1.096960
worker_8,162,1788087106.261806,50,9.319321,1.097792
worker_8,163,1788087106.271149,50,9.759417,1.097184
worker_8,164,1788087106.280957,50,9.326321,1.097376
worker_8,165,1788087106.290309,50,9.760130,1.097216
worker_8,166,1788087106.300133,50,9.315867,1.097088
worker_8,167,1788087106.309476,50,9.770445,1.095616
worker_8,168,1788087106.319297,50,9.325043,1.099168
worker_8,169,1788087106.328648,50,9.774649,1.097856
worker_8,170,1788087106.338473,50,9.326849,1.098112
worker_8,171,1788087106.347825,50,9.760723,1.099232
worker_8,172,1788087106.357637,50,9.317598,1.098976
worker_8,173,1788087106.366983,50,9.769389,1.096736
worker_8,174,1788087106.376801,50,9.301792,1.096608
