08-30-2026 18:36:56 RAM 3387/125749MB (lfb 53x4MB) CPU [0%@972,0%@972,15%@1728,0%@1728,0%@972,0%@972,0%@972,0%@972,0%@1566,0%@1566,0%@972,0%@972,0%@2601,100%@2601] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@53.656C/53.968C tj@53.656C/53.968C soc012@52.562C/53.281C gpu@53.406C/53.875C soc345@50.781C/51.062C VDD_GPU 5139mW/5568mW/5930mW VDD_CPU_SOC_MSS 9085mW/7417mW/9089mW VIN_SYS_5V0 6753mW/6382mW/6753mW VIN 28850mW/23148mW/36062mW
08-30-2026 18:36:56 RAM 3397/125749MB (lfb 53x4MB) CPU [0%@972,0%@972,14%@972,0%@972,8%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@53.468C/53.968C tj@53.562C/53.968C soc012@52.531C/53.281C gpu@53.562C/53.875C soc345@50.906C/51.062C VDD_GPU 5139mW/5551mW/5930mW VDD_CPU_SOC_MSS 9089mW/7484mW/9089mW VIN_SYS_5V0 6652mW/6393mW/6753mW VIN 28602mW/23358mW/36062mW
08-30-2026 18:36:56 RAM 3409/125749MB (lfb 53x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@53.218C/53.968C tj@53.468C/53.968C soc012@52.281C/53.281C gpu@53.468C/53.875C soc345@50.843C/51.062C VDD_GPU 5139mW/5536mW/5930mW VDD_CPU_SOC_MSS 8694mW/7528mW/9089mW VIN_SYS_5V0 6753mW/6406mW/6753mW VIN 27444mW/23504mW/36062mW
08-30-2026 18:36:56 RAM 3417/125749MB (lfb 53x4MB) CPU [0%@1026,0%@1026,0%@972,0%@972,0%@972,0%@972,0%@972,6%@972,0%@972,7%@972,0%@1674,0%@1674,0%@2601,100%@2601] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@52.437C/53.968C tj@53.687C/53.968C soc012@52.25C/53.281C gpu@53.687C/53.875C soc345@50.875C/51.062C VDD_GPU 5139mW/5522mW/5930mW VDD_CPU_SOC_MSS 8694mW/7569mW/9089mW VIN_SYS_5V0 6753mW/6418mW/6753mW VIN 28888mW/23684mW/36062mW
08-30-2026 18:36:56 RAM 3546/125749MB (lfb 53x4MB) CPU [0%@972,0%@972,0%@972,0%@972,7%@972,6%@972,0%@1512,0%@1512,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601] EMC_FREQ 0%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@52.562C/53.968C tj@53.687C/53.968C soc012@52.062C/53.281C gpu@53.687C/53.875C soc345@50.75C/51.062C VDD_GPU 5535mW/5522mW/5930mW VDD_CPU_SOC_MSS 8295mW/7592mW/9089mW VIN_SYS_5V0 6652mW/6425mW/6753mW VIN 30328mW/23891mW/36062mW
08-30-2026 18:36:56 RAM 3775/125749MB (lfb 37x4MB) CPU [7%@972,0%@972,0%@972,0%@972,8%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@1080,53%@1080] EMC_FREQ 2%@4266 GR3D_FREQ @[1385,1385,1386] NVENC0_FREQ @1557 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@55.218C/55.218C tj@64.562C/64.562C soc012@51.843C/53.281C gpu@64.562C/64.562C soc345@56.906C/56.906C VDD_GPU 16209mW/5846mW/16209mW VDD_CPU_SOC_MSS 9480mW/7649mW/9480mW VIN_SYS_5V0 8076mW/6475mW/8076mW VIN 104040mW/26249mW/104040mW
08-30-2026 18:36:56 RAM 3773/125749MB (lfb 37x4MB) CPU [0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972,25%@972] EMC_FREQ 7%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1557 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@56.156C/56.156C tj@66.531C/66.531C soc012@51.812C/53.281C gpu@66.531C/66.531C soc345@58.562C/58.562C VDD_GPU 28454mW/6492mW/28454mW VDD_CPU_SOC_MSS 10661mW/7735mW/10661mW VIN_SYS_5V0 9692mW/6567mW/9692mW VIN 105208mW/28442mW/105208mW
08-30-2026 18:36:57 RAM 3773/125749MB (lfb 37x4MB) CPU [0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,40%@972] EMC_FREQ 11%@4266 GR3D_FREQ @[1385,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1557 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1557 PVA0_FREQ off APE 300 cpu@56.75C/56.75C tj@67.468C/67.468C soc012@51.968C/53.281C gpu@67.468C/67.468C soc345@59.312C/59.312C VDD_GPU 37923mW/7342mW/37923mW VDD_CPU_SOC_MSS 11446mW/7836mW/11446mW VIN_SYS_5V0 10903mW/6685mW/10903mW VIN 103158mW/30408mW/105208mW
08-30-2026 18:36:57 RAM 3773/125749MB (lfb 37x4MB) CPU [7%@972,7%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,9%@972] EMC_FREQ 14%@4266 GR3D_FREQ @[1386,1385,1385] NVENC0_FREQ @1556 NVENC1_FREQ @1556 NVDEC0_FREQ @1557 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@57.093C/57.093C tj@68.156C/68.156C soc012@52.125C/53.281C gpu@68.156C/68.156C soc345@59.75C/59.75C VDD_GPU 45034mW/8308mW/45034mW VDD_CPU_SOC_MSS 11836mW/7938mW/11836mW VIN_SYS_5V0 11812mW/6816mW/11812mW VIN 106806mW/32318mW/106806mW
08-30-2026 18:36:57 RAM 3773/125749MB (lfb 37x4MB) CPU [0%@972,0%@972,0%@972,7%@972,7%@972,7%@972,0%@972,0%@972,0%@972,14%@972,0%@972,0%@972,0%@972,18%@972] EMC_FREQ 18%@4266 GR3D_FREQ @[1386,1385,1385] NVENC0_FREQ @1557 NVENC1_FREQ @1556 NVDEC0_FREQ @1556 NVDEC1_FREQ @1556 NVJPG0_FREQ @1556 VIC off OFA_FREQ @1556 PVA0_FREQ off APE 300 cpu@57.437C/57.437C tj@68.5C/68.5C soc012@52.312C/53.281C gpu@68.5C/68.5C soc345@60.125C/60.125C VDD_GPU 50960mW/9348mW/50960mW VDD_CPU_SOC_MSS 12625mW/8053mW/12625mW VIN_SYS_5V0 12620mW/6958mW/12620mW VIN 108924mW/34142mW/108924mW
